MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20
11,11,70,0.00036109044467440065,3,3,3,0,3,3,0,3,3,0,2,1,2,2,2,1,2,2,1,2,2
11,11,70,0.00037078414788713627,3,3,0,3,3,3,0,0,3,3,1,2,2,2,1,2,1,2,2,2,2
11,11,70,0.0003950184059189752,3,3,0,3,3,3,0,3,0,3,2,2,1,1,2,2,1,2,2,2,2
11,11,70,0.0036884540724458916,3,3,3,3,0,3,0,3,0,3,1,1,1,2,2,2,2,2,2,2,2
11,11,70,0.0015073708495803838,3,3,3,0,3,3,0,3,0,3,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.00036351387047758453,3,3,3,3,3,0,0,3,3,0,2,1,2,2,2,2,2,1,1,2,2
11,11,70,0.0013958932626339246,3,3,3,0,3,3,0,0,3,3,1,1,2,2,1,2,2,2,2,2,2
11,11,70,0.0007318745925615369,3,3,0,3,3,3,3,3,0,0,1,2,2,2,2,1,1,2,2,2,2
11,11,70,0.00036109044467440065,3,3,3,3,3,0,3,3,0,0,2,2,2,2,1,2,1,2,1,2,2
11,11,70,0.0015001005721708323,3,3,3,3,3,0,3,3,0,0,1,2,2,1,1,2,2,2,2,2,2
11,11,70,0.0003586670188712167,3,3,0,3,3,3,3,0,0,3,2,1,1,2,2,2,2,1,2,2,2
11,11,70,0.00037563099949350403,3,3,3,3,3,0,0,3,3,0,2,2,2,1,1,1,2,2,2,2,2
11,11,70,0.0007246043151519852,3,3,3,3,3,0,3,3,0,0,2,2,2,1,2,1,1,2,2,2,2
11,11,70,0.002285290532402415,3,0,3,3,3,3,0,3,3,0,1,1,2,2,1,2,2,2,2,2,2
11,11,70,0.004415481813401061,3,3,3,3,3,0,3,0,3,0,1,1,1,2,2,2,2,2,2,2,2
11,11,70,0.0003829012769030557,3,0,3,3,3,3,0,3,3,0,1,2,2,2,2,1,2,1,2,2,2
11,11,70,0.00036109044467440065,3,3,0,3,3,3,0,3,0,3,2,2,2,2,1,2,2,1,1,2,2
11,11,70,0.0003320093350361939,3,0,3,3,3,3,0,0,3,3,2,1,2,2,2,2,1,2,1,2,2
11,11,70,0.0007270277409551691,3,3,3,3,0,3,3,0,0,3,2,1,2,2,2,2,2,1,1,2,2
11,11,70,0.0003320093350361939,3,3,3,0,3,3,0,3,0,3,2,2,2,1,1,2,2,1,2,2,2
11,11,70,0.00036351387047758453,3,3,3,3,0,3,3,0,3,0,2,2,1,2,2,1,2,2,1,2,2
11,11,70,0.0007827665344283987,3,3,3,3,0,3,0,3,3,0,1,2,2,1,2,1,2,2,2,2,2
11,11,70,0.0007633791280029275,3,3,3,3,3,0,3,0,3,0,2,2,1,1,1,2,2,2,2,2,2
11,11,70,0.0003950184059189752,3,3,3,3,0,3,3,0,3,0,1,2,1,2,1,2,2,2,2,2,2
11,11,70,0.001466172610926258,3,0,3,3,3,3,0,0,3,3,2,2,2,1,1,1,2,2,2,2,2
11,11,70,0.0007415682957742725,3,3,0,3,3,3,0,3,0,3,2,2,1,2,2,1,2,1,2,2,2
11,11,70,0.00036109044467440065,3,3,3,0,3,3,0,3,3,0,1,2,2,2,1,1,2,2,2,2,2
11,11,70,0.0021956237776846106,3,3,3,3,3,0,0,3,3,0,1,1,1,2,2,2,2,2,2,2,2
11,11,70,0.0003320093350361939,3,3,3,0,3,3,0,3,3,0,2,1,2,2,1,1,2,2,2,2,2
11,11,70,0.00037078414788713627,3,3,3,0,3,3,0,0,3,3,2,1,2,2,2,1,2,2,1,2,2
11,11,70,0.000683406076497859,3,3,3,3,3,0,0,3,3,0,2,2,2,2,1,2,2,1,1,2,2
11,11,70,0.0010541902243849952,3,0,3,3,3,3,3,3,0,0,2,2,2,1,1,1,2,2,2,2,2
11,11,70,0.00036109044467440065,3,3,0,3,3,3,0,0,3,3,2,1,2,2,2,2,1,2,1,2,2
11,11,70,0.0007658025538061115,3,0,3,3,3,3,0,0,3,3,1,2,1,2,2,2,2,1,2,2,2
11,11,70,0.000729451166758353,3,3,3,3,3,0,0,0,3,3,2,1,2,2,2,1,1,2,2,2,2
11,11,70,0.00037078414788713627,3,3,0,3,3,3,3,0,0,3,2,2,2,1,1,2,1,2,2,2,2
11,11,70,0.00036109044467440065,3,0,3,3,3,3,0,3,3,0,1,2,2,2,2,1,1,2,2,2,2
11,11,70,0.003913832672141993,3,3,3,3,0,3,3,0,0,3,1,1,1,2,2,2,2,2,2,2,2
11,11,70,0.00036351387047758453,3,3,0,3,3,3,3,3,0,0,2,2,2,1,2,2,2,1,1,2,2
11,11,70,0.00036109044467440065,3,3,3,3,3,0,3,3,0,0,2,2,1,1,2,2,2,1,2,2,2
11,11,70,0.0003586670188712167,3,3,3,3,0,3,0,3,0,3,2,1,2,2,1,1,2,2,2,2,2
11,11,70,0.0007246043151519852,3,0,3,3,3,3,3,3,0,0,2,1,2,2,2,2,2,1,1,2,2
11,11,70,0.0011632443855282705,3,3,3,0,3,3,0,3,0,3,2,2,1,2,1,1,2,2,2,2,2
11,11,70,0.00037563099949350403,3,3,3,0,3,3,0,3,3,0,1,2,2,2,2,2,2,1,1,2,2
11,11,70,0.0014637491851230739,3,3,0,3,3,3,3,3,0,0,2,1,2,1,1,2,2,2,2,2,2
11,11,70,0.0010881181856295698,3,0,3,3,3,3,0,3,0,3,1,2,2,2,2,2,2,1,1,2,2
