MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21
11,11,70,0.0007464151473806387,16,27,38,49,48,59,70,81,92,91,90,79,68,69,70,59,48,37,26,27,16,5
11,11,70,0.0003635138704775837,16,27,38,37,48,59,70,69,68,79,90,79,68,57,46,47,48,37,26,27,16,5
11,11,70,0.00038774812850942266,16,27,38,49,48,59,70,69,80,91,90,79,68,57,58,47,48,37,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,71,70,81,92,91,90,79,68,57,46,47,48,37,26,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,48,59,70,81,80,91,90,79,68,57,46,47,36,37,26,27,16,5
11,11,70,0.0003635138704775837,16,27,38,37,48,59,70,81,92,91,90,79,80,69,70,59,48,37,26,27,16,5
11,11,70,0.002166542668046399,16,27,26,37,48,59,70,69,80,91,90,79,80,81,82,71,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,60,59,70,81,92,91,90,79,68,57,58,59,48,37,38,27,16,5
11,11,70,0.001878154997467516,16,27,38,37,48,59,70,81,80,79,90,79,68,69,70,71,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,59,70,69,80,79,90,79,80,69,58,47,48,37,26,27,16,5
11,11,70,0.00033200933503619315,16,27,26,37,48,59,70,69,80,79,90,91,80,69,58,47,48,37,26,27,16,5
11,11,70,0.0007197574635456158,16,27,26,37,48,59,70,81,92,91,90,79,80,69,58,59,48,37,26,27,16,5
11,11,70,0.006977042887366424,16,27,38,49,48,59,70,69,68,79,90,91,92,93,82,71,60,49,38,27,16,5
11,11,70,0.004662671245325808,16,27,38,49,48,59,70,81,80,91,90,91,92,93,82,71,60,49,38,27,16,5
11,11,70,0.0033903726986542642,16,27,38,49,60,59,70,69,80,91,90,91,92,93,82,71,60,49,38,27,16,5
11,11,70,0.0015073708495803807,16,27,26,37,48,59,70,81,92,91,90,79,68,69,58,47,36,25,26,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,60,59,70,69,80,79,90,79,68,57,46,35,36,37,26,27,16,5
11,11,70,0.00038290127690305485,16,27,38,49,60,59,70,81,80,91,90,91,80,69,58,59,48,49,38,27,16,5
11,11,70,0.004551193658379349,16,27,38,49,60,71,70,69,68,79,90,91,92,81,82,71,60,49,38,27,16,5
11,11,70,0.0003635138704775837,16,27,38,49,60,71,70,81,80,79,90,79,68,69,58,47,36,25,26,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,60,71,70,81,80,91,90,79,68,57,58,47,36,25,26,27,16,5
11,11,70,0.00036109044467439984,16,27,38,37,48,59,70,69,80,79,90,79,68,57,46,47,36,25,26,27,16,5
11,11,70,0.0014492086303039672,16,27,38,37,48,59,70,81,80,91,90,79,68,69,70,71,60,49,38,27,16,5
11,11,70,0.0019169298103184583,16,27,38,49,60,71,70,69,80,91,90,91,92,81,82,71,60,49,38,27,16,5
11,11,70,0.0022077409067005256,16,27,38,49,60,71,70,69,68,79,90,91,80,69,70,71,60,49,38,27,16,5
11,11,70,0.0007173340377424319,16,27,38,49,48,59,70,81,92,91,90,79,68,69,70,71,60,49,38,27,16,5
11,11,70,0.000758532276396558,16,27,38,49,60,71,70,69,68,79,90,79,68,57,46,47,48,49,38,27,16,5
11,11,70,0.00039986525752534215,16,27,38,49,60,71,70,69,80,79,90,79,80,69,58,59,48,49,38,27,16,5
11,11,70,0.00033200933503619315,16,27,38,37,48,59,70,69,80,79,90,79,68,57,46,47,48,37,38,27,16,5
11,11,70,0.000758532276396558,16,27,38,49,60,59,70,69,80,79,90,91,80,69,70,59,60,49,38,27,16,5
11,11,70,0.0011050821662518546,16,27,38,49,60,71,70,69,80,79,90,79,80,81,70,71,60,49,38,27,16,5
11,11,70,0.0017497134298987698,16,27,38,49,60,59,70,69,80,91,90,91,92,81,82,71,60,49,38,27,16,5
11,11,70,0.0003635138704775837,16,27,38,37,48,59,70,81,92,91,90,79,80,81,70,59,48,49,38,27,16,5
11,11,70,0.0006834060764978574,16,27,38,49,48,59,70,69,80,79,90,79,68,69,70,59,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,38,37,48,59,70,81,80,79,90,79,68,57,46,47,48,49,38,27,16,5
11,11,70,0.00039986525752534215,16,27,38,49,60,71,70,69,68,79,90,79,68,69,58,59,48,37,38,27,16,5
11,11,70,0.0007318745925615353,16,27,38,49,60,71,70,81,80,91,90,91,92,81,70,59,48,37,38,27,16,5
11,11,70,0.00037563099949350316,16,27,38,49,60,59,70,69,80,79,90,79,68,57,58,59,60,49,38,27,16,5
11,11,70,0.0007536854247901903,16,27,38,49,60,71,70,69,80,91,90,91,80,81,82,71,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,48,59,70,69,68,79,90,79,80,69,70,59,48,49,38,27,16,5
11,11,70,0.0006906763539074091,16,27,38,37,48,59,70,69,80,91,90,79,80,69,70,59,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,60,59,70,69,80,91,90,79,80,81,70,59,60,49,38,27,16,5
11,11,70,0.00039501840591897434,16,27,26,37,48,59,70,81,80,91,90,79,68,57,46,47,48,37,38,27,16,5
11,11,70,0.00038774812850942266,16,27,38,37,48,59,70,81,80,91,90,79,80,81,70,59,48,49,38,27,16,5
11,11,70,0.00038774812850942266,16,27,26,37,48,59,70,81,92,91,90,79,68,57,58,47,48,37,26,27,16,5
11,11,70,0.0007439917215774546,16,27,38,37,48,59,70,69,68,79,90,79,68,69,58,59,48,37,26,27,16,5
11,11,70,0.0007221808893487997,16,27,38,49,60,71,70,81,80,91,90,79,80,69,58,47,48,49,38,27,16,5
11,11,70,0.000693099779710593,16,27,38,37,48,59,70,81,92,91,90,79,80,81,70,59,48,37,38,27,16,5
11,11,70,0.00039986525752534215,16,27,38,49,48,59,70,81,80,91,90,79,68,57,58,47,36,37,26,27,16,5
11,11,70,0.0015025239979740129,16,27,38,37,48,59,70,81,92,91,90,91,80,69,58,59,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,38,37,48,59,70,69,68,79,90,79,68,57,46,47,36,37,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,37,48,59,70,69,68,79,90,79,68,57,46,47,36,25,26,27,16,5
11,11,70,0.00036836072208395153,16,27,38,49,48,59,70,69,80,91,90,79,80,69,58,47,36,37,26,27,16,5
11,11,70,0.0014492086303039672,16,27,38,49,48,59,70,69,68,79,90,79,68,69,58,59,60,49,38,27,16,5
11,11,70,0.00036836072208395153,16,27,38,49,48,59,70,69,80,91,90,79,68,57,46,47,48,37,38,27,16,5
11,11,70,0.001412857243256209,16,27,38,49,60,71,70,69,80,79,90,79,80,81,70,59,60,49,38,27,16,5
11,11,70,0.001471019462532622,16,27,38,49,60,59,70,81,80,79,90,91,80,81,70,71,60,49,38,27,16,5
11,11,70,0.0010760010566136478,16,27,38,49,48,59,70,69,68,79,90,79,80,81,70,59,60,49,38,27,16,5
11,11,70,0.00037563099949350316,16,27,38,49,60,71,70,69,80,91,90,79,68,57,58,47,48,37,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,71,70,81,92,91,90,79,68,57,46,47,36,37,26,27,16,5
11,11,70,0.0003635138704775837,16,27,38,49,60,59,70,69,68,79,90,79,68,69,58,47,36,25,26,27,16,5
11,11,70,0.00036109044467439984,16,27,38,37,48,59,70,81,92,91,90,79,68,69,58,59,48,49,38,27,16,5
11,11,70,0.0018539207394356772,16,27,38,49,60,59,70,69,68,79,90,79,68,57,58,47,48,49,38,27,16,5
11,11,70,0.00038290127690305485,16,27,26,37,48,59,70,81,92,91,90,79,80,69,58,59,48,49,38,27,16,5
11,11,70,0.0007052169087265125,16,27,38,37,48,59,70,81,80,79,90,79,80,69,70,71,60,49,38,27,16,5
11,11,70,0.0003635138704775837,16,27,26,37,48,59,70,81,92,91,90,79,68,57,46,47,36,37,26,27,16,5
11,11,70,0.00035866701887121596,16,27,38,37,48,59,70,81,80,79,90,79,80,81,70,59,48,37,38,27,16,5
11,11,70,0.00038774812850942266,16,27,26,37,48,59,70,69,68,79,90,91,80,69,58,47,48,37,26,27,16,5
11,11,70,0.0011002353146454865,16,27,38,49,60,59,70,69,68,79,90,79,80,69,58,59,48,37,26,27,16,5
11,11,70,0.00038774812850942266,16,27,38,37,48,59,70,81,80,91,90,79,80,69,70,59,48,37,26,27,16,5
11,11,70,0.0010929650372359353,16,27,38,49,60,71,70,81,80,79,90,79,80,81,82,71,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,59,70,69,68,79,90,91,80,69,58,47,36,37,38,27,16,5
11,11,70,0.001051766798581809,16,27,38,49,60,71,70,81,80,79,90,91,80,81,70,59,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,71,70,69,68,79,90,79,68,57,46,35,36,37,26,27,16,5
11,11,70,0.0014516320561071508,16,27,38,49,48,59,70,69,80,91,90,79,80,81,82,71,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,37,48,59,70,69,80,79,90,91,92,81,70,59,48,37,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,59,70,69,68,79,90,91,80,69,58,47,36,37,26,27,16,5
