MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22,Obs23,Obs24
11,11,38,0.00012037447977290165,0,0,0,0,0,0,3,3,0,3,3,3,2,1,2,1,1,1,1,2,1,2,2,1,1
11,11,38,0.00012351468359306429,0,0,0,0,3,0,0,3,3,3,0,3,2,1,2,2,2,1,1,2,1,1,1,1,1
11,11,38,0.0005097597534730704,0,0,0,0,0,3,0,0,3,3,3,3,2,2,2,1,1,2,2,1,1,1,1,1,1
11,11,38,0.00012142121437962252,0,0,0,0,3,0,0,3,3,0,3,3,1,1,1,1,1,2,1,2,2,2,2,1,1
11,11,38,0.00013816896808715664,0,0,0,0,3,3,3,3,0,0,0,3,2,2,1,1,1,1,2,2,2,1,1,1,1
11,11,38,0.0001151408067392972,0,0,0,0,0,0,3,3,3,0,3,3,2,2,1,2,1,1,2,2,1,1,1,1,1
11,11,38,0.00013293529505355224,0,0,0,0,0,3,3,0,3,3,0,3,1,2,2,2,1,1,1,1,2,2,1,1,1
11,11,38,0.0001277016220199478,0,0,0,0,3,3,3,0,3,0,0,3,1,2,2,1,2,2,1,1,1,1,2,1,1
11,11,38,0.00012037447977290165,0,0,0,0,3,3,3,0,0,0,3,3,2,1,2,1,2,1,1,1,1,2,2,1,1
11,11,38,0.0001277016220199478,0,0,0,0,0,3,0,0,3,3,3,3,1,2,2,2,1,1,1,2,1,2,1,1,1
11,11,38,0.000135028764266994,0,0,0,0,3,0,0,0,3,3,3,3,2,1,1,2,1,1,1,2,2,1,2,1,1
11,11,38,0.00012037447977290165,0,0,0,0,0,3,3,3,0,3,0,3,2,2,2,2,2,1,1,1,1,1,1,1,1
11,11,38,0.0001151408067392972,0,0,0,0,0,3,3,3,0,3,3,0,2,1,2,1,1,2,1,1,1,2,2,1,1
11,11,38,0.0010603421566082552,0,0,0,0,0,0,0,3,3,3,3,3,2,1,2,2,2,1,2,1,1,1,1,1,1
11,11,38,0.00013816896808715664,0,0,0,0,3,0,0,3,0,3,3,3,1,2,1,1,2,2,2,1,2,1,1,1,1
11,11,38,0.00015282325258124903,0,0,0,0,0,0,3,0,3,3,3,3,2,1,2,2,2,1,2,1,1,1,1,1,1
11,11,38,0.00013084182584011047,0,0,0,0,3,0,0,3,3,0,3,3,2,1,1,2,2,1,2,1,1,1,2,1,1
11,11,38,0.00013188856044683134,0,0,0,0,3,3,3,3,3,0,0,0,2,2,1,1,2,1,2,1,1,1,2,1,1
11,11,38,0.0001161875413460181,0,0,0,0,3,0,0,3,3,3,0,3,2,2,1,1,2,2,1,1,2,1,1,1,1
11,11,38,0.00013188856044683134,0,0,0,0,3,3,0,0,0,3,3,3,1,1,2,2,1,2,2,2,1,1,1,1,1
11,11,38,0.000117234275952739,0,0,0,0,3,3,3,3,0,3,0,0,1,2,2,1,2,1,1,1,2,2,1,1,1
11,11,38,0.000297272628308731,0,0,0,0,0,3,0,0,3,3,3,3,2,1,1,1,1,1,2,1,2,2,2,1,1
11,11,38,0.00012037447977290165,0,0,0,0,0,3,3,0,3,3,3,0,2,2,1,2,2,2,1,1,1,1,1,1,1
11,11,38,0.00027529120156759247,0,0,0,0,0,0,0,3,3,3,3,3,2,2,2,1,2,1,1,2,1,1,1,1,1
11,11,38,0.00013293529505355224,0,0,0,0,3,0,0,3,3,0,3,3,1,1,1,2,1,1,2,2,1,2,2,1,1
11,11,38,0.0002637771208936627,0,0,0,0,0,3,0,3,3,3,3,0,2,1,1,1,1,2,2,1,2,2,1,1,1
11,11,38,0.0001475895795476446,0,0,0,0,3,3,0,0,0,3,3,3,2,2,1,2,2,1,2,1,1,1,1,1,1
11,11,38,0.00014026243730059845,0,0,0,0,3,0,3,0,3,3,3,0,1,2,2,2,1,2,1,1,2,1,1,1,1
11,11,38,0.00013188856044683134,0,0,0,0,0,3,0,3,3,3,3,0,1,2,2,2,1,2,1,1,2,1,1,1,1
11,11,38,0.0001151408067392972,0,0,0,0,3,3,3,0,3,3,0,0,2,2,2,1,2,1,1,1,1,2,1,1,1
11,11,38,0.00012456141819978516,0,0,0,0,0,0,3,3,0,3,3,3,2,1,1,1,1,2,1,1,2,2,2,1,1
11,11,38,0.00023865549033236152,0,0,0,0,3,3,0,3,3,0,3,0,2,2,2,2,1,1,2,1,1,1,1,1,1
11,11,38,0.0013126051968279883,0,0,0,0,0,0,0,3,3,3,3,3,2,1,2,2,2,2,1,1,1,1,1,1,1
11,11,38,0.0001161875413460181,0,0,0,0,3,3,3,3,3,0,0,0,1,1,2,2,1,1,2,2,1,2,1,1,1
11,11,38,0.00013084182584011047,0,0,0,0,0,3,3,0,0,3,3,3,1,1,2,1,1,2,1,2,2,1,2,1,1
11,11,38,0.00012037447977290165,0,0,0,0,0,0,3,0,3,3,3,3,1,2,2,2,2,1,1,2,1,1,1,1,1
11,11,38,0.0002805248746011969,0,0,0,0,3,0,3,0,0,3,3,3,1,2,1,1,2,2,2,1,2,1,1,1,1
11,11,38,0.00013398202966027312,0,0,0,0,3,3,3,0,0,0,3,3,1,2,1,1,1,2,1,2,1,2,2,1,1
11,11,38,0.00012037447977290165,0,0,0,0,3,3,3,3,0,3,0,0,1,1,2,2,1,1,1,2,1,2,2,1,1
11,11,38,0.00014235590651404023,0,0,0,0,3,0,0,0,3,3,3,3,1,2,1,1,1,1,1,2,2,2,2,1,1
