MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22,Obs23,Obs24,Obs25
11,11,38,0.0002533097748264543,42,41,40,39,38,37,36,35,46,57,68,79,90,79,68,69,58,47,48,49,38,39,40,41,42,43
11,11,38,0.0006625830060543205,42,41,40,39,38,37,36,35,46,57,68,79,90,79,80,81,82,83,84,85,74,63,52,41,42,43
11,11,38,0.00012037447977290185,42,41,40,39,38,49,48,59,70,69,68,79,90,91,80,81,82,71,72,73,74,63,52,41,42,43
11,11,38,0.00013398202966027336,42,41,40,39,38,49,48,47,46,57,68,79,90,91,80,69,70,59,48,49,50,51,40,41,42,43
11,11,38,0.0002554032440398961,42,41,40,39,38,37,48,47,46,57,68,79,90,79,68,69,70,59,60,61,62,63,52,41,42,43
11,11,38,0.0001161875413460183,42,41,40,39,38,37,36,47,58,69,80,79,90,91,92,81,82,71,60,61,62,51,40,41,42,43
11,11,38,0.00025540324403989606,42,41,40,39,38,37,36,47,58,57,68,79,90,91,92,81,82,83,84,73,74,63,52,41,42,43
11,11,38,0.00013084182584011068,42,41,40,39,38,37,36,47,58,69,80,91,90,79,68,69,70,59,60,49,38,39,40,41,42,43
11,11,38,0.00011514080673929741,42,41,40,39,38,37,48,47,46,57,68,79,90,91,92,93,82,71,60,61,50,51,40,41,42,43
11,11,38,0.0001528232525812493,42,41,40,39,38,49,60,71,82,93,92,91,90,91,80,81,70,71,72,61,50,51,52,41,42,43
11,11,38,0.0002690107939272676,42,41,40,39,38,49,60,71,70,81,80,79,90,79,68,57,46,47,36,37,38,39,40,41,42,43
11,11,38,0.0001381689680871569,42,41,40,39,38,37,36,47,58,69,68,79,90,79,80,69,70,59,60,61,62,51,40,41,42,43
11,11,38,0.00013293529505355249,42,41,40,39,38,49,48,59,58,69,80,91,90,79,80,69,70,71,72,73,62,51,40,41,42,43
11,11,38,0.0002574967132533378,42,41,40,39,38,37,48,47,46,57,68,79,90,91,92,81,70,59,60,49,50,39,40,41,42,43
