MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22
11,11,59,0.00044747309863646005,2,2,2,2,0,0,0,2,2,2,0,3,1,3,3,1,1,3,1,3,3,3,3
11,11,59,0.0016743484480050681,0,0,0,0,0,0,2,2,2,0,3,3,3,1,1,1,1,1,1,1,1
11,11,59,0.0023971773141238935,2,2,0,2,2,0,0,0,2,2,2,3,3,1,3,1,1,1,3,3,3,3,3
11,11,59,9.588709256495573e-05,2,2,2,2,0,0,0,3,3,3,0,2,2,2,1,1,1,3,1,3,3,3,3
11,11,59,0.002940537505325309,2,2,2,2,0,0,0,2,0,2,2,1,3,3,3,1,1,1,3,3,3,3,3
11,11,59,0.004890241720812742,2,0,2,2,2,0,0,0,3,3,3,2,1,2,2,1,1,1,3,3,3,3,3
11,11,59,0.0006392472837663715,2,2,2,0,2,0,0,0,3,3,3,1,2,2,2,1,1,3,3,3,1,3,3
11,11,59,0.0001278494567532743,2,2,2,2,0,0,0,3,3,0,3,2,1,2,2,1,1,3,1,3,3,3,3
11,11,59,0.0004794354628247786,2,2,0,2,2,0,0,2,0,2,2,3,3,1,3,1,1,3,3,3,1,3,3
11,11,59,0.001885779487110796,2,2,2,2,0,0,0,0,2,2,2,1,3,3,3,1,1,3,3,1,3,3,3
11,11,59,0.0013743816600976988,2,0,2,2,2,0,0,3,0,3,3,2,2,1,2,1,1,1,3,3,3,3,3
11,11,59,9.588709256495573e-05,2,2,2,2,0,0,0,2,0,2,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,59,0.0007670967405196458,2,0,2,2,2,0,0,0,3,3,3,2,2,1,2,1,1,3,3,3,1,3,3
11,11,59,0.00015981182094159288,2,0,2,2,2,0,0,3,3,0,3,2,2,1,2,1,1,3,3,3,1,3,3
11,11,59,9.588709256495573e-05,2,2,2,2,0,0,0,3,0,3,3,2,1,2,2,1,1,3,3,3,1,3,3
11,11,59,0.00035158600607150433,2,2,0,2,2,0,0,3,3,0,3,2,2,2,1,1,1,1,3,3,3,3,3
11,11,59,0.0017579300303575216,2,0,2,2,2,0,0,3,3,3,0,1,2,2,2,1,1,3,1,3,3,3,3
11,11,59,0.0058491126464622996,2,2,2,2,0,0,0,0,2,2,2,1,3,3,3,1,1,1,3,3,3,3,3
11,11,59,0.0006392472837663715,2,0,2,2,2,0,0,3,3,3,0,2,2,1,2,1,1,1,3,3,3,3,3
11,11,59,0.0012465322033444245,2,2,2,2,0,0,0,0,3,3,3,1,2,2,2,1,1,3,1,3,3,3,3
11,11,59,0.0014063440242860173,2,2,2,2,0,0,0,0,3,3,3,2,1,2,2,1,1,1,3,3,3,3,3
11,11,59,6.392472837663716e-05,2,2,2,0,2,0,0,2,2,2,0,3,3,1,3,1,1,3,3,1,3,3,3
11,11,59,7.910685136608847e-05,0,0,0,0,0,0,2,2,0,2,1,1,1,1,1,3,1,3,3,1,1
11,11,59,0.001438306388474336,2,0,2,2,2,0,0,0,3,3,3,2,1,2,2,1,1,3,3,3,1,3,3
11,11,59,0.0008949461972729201,2,2,0,2,2,0,0,0,2,2,2,3,3,1,3,1,1,3,3,3,1,3,3
11,11,59,0.0022373654931823004,2,0,2,2,2,0,0,2,2,0,2,3,1,3,3,1,1,3,1,3,3,3,3
11,11,59,0.003004462233701946,2,2,2,0,2,0,0,2,0,2,2,1,3,3,3,1,1,1,3,3,3,3,3
11,11,59,0.0006712096479546901,2,2,0,2,2,0,0,2,2,0,2,1,3,3,3,1,1,3,3,1,3,3,3
11,11,59,0.0001278494567532743,2,2,2,2,0,0,0,2,2,2,0,3,3,1,3,1,1,3,3,3,1,3,3
11,11,59,0.0002556989135065486,2,0,2,2,2,0,0,3,3,3,0,2,2,1,2,1,1,3,3,1,3,3,3
11,11,59,0.0009588709256495572,2,0,2,2,2,0,0,2,2,2,0,3,1,3,3,1,1,3,3,3,1,3,3
11,11,59,0.001560562431494654,0,0,0,0,0,0,2,2,2,0,1,3,1,1,1,1,1,3,3,1,1
11,11,59,0.0002556989135065486,2,2,2,0,2,0,0,0,2,2,2,3,3,1,3,1,1,3,3,3,1,3,3
11,11,59,0.00022373654931823002,2,2,2,0,2,0,0,2,2,0,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,59,0.0004794354628247786,2,2,2,0,2,0,0,2,2,2,0,3,3,1,3,1,1,1,3,3,3,3,3
11,11,59,0.0002876612776948672,2,2,2,2,0,0,0,3,3,3,0,1,2,2,2,1,1,3,1,3,3,3,3
11,11,59,0.03944155740838645,0,0,0,0,0,0,3,0,3,3,1,2,2,2,1,1,1,1,1,1,1
11,11,59,0.0002876612776948672,2,2,0,2,2,0,0,3,3,0,3,2,2,1,2,1,1,1,3,3,3,3,3
