MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22
11,11,46,0.00017925982060572015,2,2,0,2,0,2,0,0,2,2,2,1,1,1,3,3,3,3,3,1,3,3,3
11,11,46,0.006438199391585638,2,2,0,2,0,2,0,0,2,2,2,3,1,1,1,1,3,3,3,3,3,3,3
11,11,46,0.0004023840178490528,2,0,2,2,2,0,0,0,2,2,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,46,0.0012054437675223268,2,0,2,0,2,2,0,0,2,2,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,46,0.0003138837805626135,2,2,2,2,0,0,0,0,2,2,2,1,1,1,3,3,1,3,3,3,3,3,3
11,11,46,0.0007158820564060592,2,2,0,2,0,2,0,0,2,2,2,3,3,3,1,1,3,3,1,1,3,3,3
11,11,46,8.83900252848371e-05,2,2,0,2,2,0,0,0,2,2,2,1,1,1,3,3,3,3,3,1,3,3,3
11,11,46,0.00021959741319206724,2,0,2,2,2,0,0,0,2,2,2,1,3,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0008889148989212641,2,0,2,0,2,2,0,0,2,2,2,1,3,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0006255633210931862,2,2,2,0,0,2,0,0,2,2,2,1,3,1,1,3,3,3,1,3,3,3,3
11,11,46,0.00031349803855700644,2,2,2,0,0,2,0,0,2,2,2,1,1,3,1,3,3,3,3,1,3,3,3
11,11,46,0.0010282228689462442,2,0,2,2,2,0,0,0,2,2,2,1,3,1,1,3,3,1,3,3,3,3,3
11,11,46,0.0027603146861239253,2,0,2,0,2,2,0,0,2,2,2,1,3,1,1,3,3,1,3,3,3,3,3
11,11,46,0.023826346884339766,2,0,0,2,2,2,0,0,2,2,2,3,1,1,1,1,3,3,3,3,3,3,3
11,11,46,8.816960128163302e-05,2,2,0,2,2,0,0,0,2,2,2,3,1,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0005351343737787114,2,2,0,0,2,2,0,0,2,2,2,3,1,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0009868382623446777,2,2,2,0,0,2,0,0,2,2,2,1,1,3,1,3,3,1,3,3,3,3,3
11,11,46,0.00013286056793126077,2,2,2,2,0,0,0,0,2,2,2,1,1,1,3,3,3,3,1,3,3,3,3
11,11,46,0.0033592067028294192,2,0,0,2,2,2,0,0,2,2,2,3,3,3,1,1,3,3,1,1,3,3,3
11,11,46,0.00026803558789616433,2,2,2,2,0,0,0,0,2,2,2,3,3,3,1,1,3,1,3,1,3,3,3
11,11,46,0.0029019922141833507,2,2,0,0,2,2,0,0,2,2,2,3,1,1,1,3,3,1,3,3,3,3,3
11,11,46,0.0014699525713672246,2,0,2,2,2,0,0,0,2,2,2,1,1,3,1,1,3,3,3,3,3,3,3
11,11,46,0.005714547389066641,2,0,2,0,2,2,0,0,2,2,2,1,1,3,1,1,3,3,3,3,3,3,3
11,11,46,0.000712961438363605,2,2,0,2,0,2,0,0,2,2,2,3,3,3,1,1,3,3,1,3,1,3,3
11,11,46,0.0005809274604443596,2,0,2,2,0,2,0,0,2,2,2,1,1,3,1,3,3,1,3,3,3,3,3
11,11,46,0.00017771685258329158,2,0,2,2,2,0,0,0,2,2,2,1,3,1,1,3,3,3,3,3,1,3,3
11,11,46,0.0007143390883836305,2,0,2,0,2,2,0,0,2,2,2,1,3,1,1,3,3,3,3,3,1,3,3
11,11,46,0.000979784694242147,2,2,2,0,2,0,0,0,2,2,2,1,1,3,1,3,1,3,3,3,3,3,3
11,11,46,0.003255331891319495,2,0,2,2,0,2,0,0,2,2,2,3,1,1,1,3,1,3,3,3,3,3,3
11,11,46,0.0001791496086041181,2,2,2,0,0,2,0,0,2,2,2,1,1,3,1,3,3,3,3,3,1,3,3
11,11,46,0.0034323323658923734,2,0,0,2,2,2,0,0,2,2,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,46,0.011505802331248293,2,2,0,0,2,2,0,0,2,2,2,1,3,1,1,1,3,3,3,3,3,3,3
11,11,46,0.0029013860481745383,2,0,0,2,2,2,0,0,2,2,2,3,1,1,1,3,3,3,1,3,3,3,3
11,11,46,0.0007588096310300542,2,2,0,0,2,2,0,0,2,2,2,3,1,1,1,3,3,3,3,3,1,3,3
11,11,46,0.0010331824090183362,2,2,0,2,2,0,0,0,2,2,2,1,1,1,3,1,3,3,3,3,3,3,3
11,11,46,0.002362669784343759,2,2,2,0,0,2,0,0,2,2,2,3,3,3,1,1,1,1,3,3,3,3,3
11,11,46,0.0035704831099005315,2,2,0,0,2,2,0,0,2,2,2,1,1,1,3,1,3,3,3,3,3,3,3
11,11,46,0.0009384000876405807,2,2,0,2,0,2,0,0,2,2,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,46,0.00022345483324813867,2,2,2,0,2,0,0,0,2,2,2,1,1,3,1,3,3,3,1,3,3,3,3
11,11,46,0.0006265001231068035,2,0,2,2,0,2,0,0,2,2,2,3,1,1,1,3,3,3,1,3,3,3,3
11,11,46,0.00013655266998492915,2,2,0,2,0,2,0,0,2,2,2,1,3,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0024970182142966487,2,2,2,2,0,0,0,0,2,2,2,1,3,1,1,1,3,3,3,3,3,3,3
11,11,46,0.0013861363441488726,2,0,2,2,0,2,0,0,2,2,2,3,1,1,1,3,3,1,3,3,3,3,3
11,11,46,0.0010688910975373976,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,1,3,1,3,3,3,3
11,11,46,0.0028107366768568604,2,2,0,0,2,2,0,0,2,2,2,3,3,3,1,1,1,3,1,3,3,3,3
11,11,46,0.0012942195348127703,2,2,0,2,0,2,0,0,2,2,2,1,3,1,1,3,3,1,3,3,3,3,3
11,11,46,8.94370393000565e-05,2,0,2,2,0,2,0,0,2,2,2,1,1,1,3,3,3,3,3,1,3,3,3
11,11,46,0.00722742753505786,2,2,2,0,0,2,0,0,2,2,2,3,1,1,1,1,3,3,3,3,3,3,3
11,11,46,0.003033364920092984,2,0,0,2,2,2,0,0,2,2,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,46,0.0009407696456750247,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,3,3,3,1,1,3,3
11,11,46,0.0007122450603531918,2,2,2,0,0,2,0,0,2,2,2,3,3,3,1,1,3,3,1,1,3,3,3
11,11,46,0.000664247733655503,2,0,2,2,0,2,0,0,2,2,2,1,1,1,3,3,3,1,3,3,3,3,3
11,11,46,0.0012947705948207807,2,0,0,2,2,2,0,0,2,2,2,1,3,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0013379185934479796,2,2,0,2,2,0,0,0,2,2,2,1,3,1,1,3,1,3,3,3,3,3,3
11,11,46,0.006068768762215597,2,2,0,0,2,2,0,0,2,2,2,1,3,1,1,3,1,3,3,3,3,3,3
