MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21
11,11,71,0.022705882352940673,56,57,58,59,60,71,82,81,92,91,90,91,92,81,82,71,60,59,58,57,56,55
11,11,71,0.04599999999999982,56,57,58,59,60,71,82,93,92,91,90,91,92,81,82,71,60,59,58,57,56,55
11,11,71,0.04664705882352926,56,57,58,59,60,71,82,93,92,91,90,91,92,93,82,71,60,59,58,57,56,55
11,11,71,0.018705882352940763,16,27,38,49,60,71,82,93,92,91,90,91,92,93,82,71,60,49,38,27,16,5
11,11,71,0.009235294117646859,16,27,38,49,60,71,82,81,80,79,90,91,80,81,82,71,60,49,38,27,16,5
11,11,71,0.005294117647058712,16,27,38,49,60,71,82,81,80,91,90,91,92,93,82,71,60,49,38,27,16,5
11,11,71,0.009058823529411569,16,27,38,49,60,71,82,81,92,91,90,91,92,93,82,71,60,49,38,27,16,5
11,11,71,0.01964705882352898,16,27,38,49,60,71,82,81,92,91,90,91,80,81,82,71,60,49,38,27,16,5
11,11,71,0.010588235294117418,56,57,58,59,60,71,82,81,80,91,90,91,92,93,82,71,60,59,58,57,56,55
11,11,71,0.08941176470588381,56,57,58,59,60,71,82,93,92,91,90,91,80,81,82,71,60,59,58,57,56,55
11,11,71,0.03641176470588181,16,27,38,49,60,71,82,93,92,91,90,91,80,81,82,71,60,49,38,27,16,5
11,11,71,0.004470588235294025,16,27,38,49,60,71,82,81,80,79,90,91,92,93,82,71,60,49,38,27,16,5
11,11,71,0.04652941176470572,56,57,58,59,60,71,82,81,80,91,90,79,80,81,82,71,60,59,58,57,56,55
11,11,71,0.020941176470587772,56,57,58,59,60,71,82,81,80,79,90,91,80,81,82,71,60,59,58,57,56,55
11,11,71,0.018705882352940763,16,27,38,49,60,71,82,81,80,91,90,79,80,81,82,71,60,49,38,27,16,5
11,11,71,0.02123529411764659,56,57,58,59,60,71,82,81,80,91,90,91,80,81,82,71,60,59,58,57,56,55
11,11,71,0.01152941176470563,56,57,58,59,60,71,82,81,80,91,90,91,92,81,82,71,60,59,58,57,56,55
11,11,71,0.0038823529411763907,16,27,38,49,60,71,82,81,80,91,90,91,92,81,82,71,60,49,38,27,16,5
11,11,71,0.005176470588235185,16,27,38,49,60,71,82,81,80,79,90,91,92,81,82,71,60,49,38,27,16,5
11,11,71,0.04452941176470565,56,57,58,59,60,71,82,81,92,91,90,91,80,81,82,71,60,59,58,57,56,55
11,11,71,0.035176470588234705,16,27,38,49,60,71,82,81,92,91,90,79,80,81,82,71,60,49,38,27,16,5
11,11,71,0.17347058823529876,56,57,58,59,60,71,82,93,92,91,90,79,80,81,82,71,60,59,58,57,56,55
11,11,71,0.008941176470588041,16,27,38,49,60,71,82,81,92,91,90,91,92,81,82,71,60,49,38,27,16,5
11,11,71,0.010588235294117418,56,57,58,59,60,71,82,81,80,79,90,91,92,93,82,71,60,59,58,57,56,55
11,11,71,0.017294117647058443,16,27,38,49,60,71,82,81,80,79,90,79,80,81,82,71,60,49,38,27,16,5
11,11,71,0.011588235294117394,56,57,58,59,60,71,82,81,80,79,90,91,92,81,82,71,60,59,58,57,56,55
11,11,71,0.08370588235294242,56,57,58,59,60,71,82,81,92,91,90,79,80,81,82,71,60,59,58,57,56,55
11,11,71,0.021823529411764225,56,57,58,59,60,71,82,81,92,91,90,91,92,93,82,71,60,59,58,57,56,55
11,11,71,0.018352941176470183,16,27,38,49,60,71,82,93,92,91,90,91,92,81,82,71,60,49,38,27,16,5
11,11,71,0.044588235294117415,56,57,58,59,60,71,82,81,80,79,90,79,80,81,82,71,60,59,58,57,56,55
11,11,71,0.009529411764705675,16,27,38,49,60,71,82,81,80,91,90,91,80,81,82,71,60,49,38,27,16,5
11,11,71,0.07423529411764794,16,27,38,49,60,71,82,93,92,91,90,79,80,81,82,71,60,49,38,27,16,5
