MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22,Obs23,Obs24
11,11,84,0.00020503554933917517,0,0,3,3,3,3,0,0,3,0,0,0,1,1,1,1,2,1,1,2,2,2,2,1,1
11,11,84,0.00010083023928407997,0,3,3,0,3,3,0,0,0,0,0,3,1,1,1,1,1,2,2,1,2,2,2,1,1
11,11,84,0.0025491628277580446,0,3,3,0,3,3,0,3,0,0,0,0,1,1,2,1,1,1,1,2,2,2,2,1,1
11,11,84,0.000709186745759575,0,3,3,3,0,3,0,0,3,0,0,0,1,2,1,1,1,1,1,2,2,2,2,1,1
11,11,84,0.00020236361831212145,0,3,3,3,3,0,0,3,0,0,0,0,2,2,2,2,1,2,1,1,1,1,1,1,1
11,11,84,0.0008680963278948752,1,1,1,1,1,1,1,2,2,2,2,2,0,0,3,0,0,0,3,0,3,3,3,0,0
11,11,84,0.0004034615850851121,0,0,3,3,3,3,0,0,0,0,0,3,1,1,1,1,2,1,1,2,2,2,2,1,1
11,11,84,0.00040402409688028136,0,3,3,0,3,3,0,0,0,0,3,0,2,2,1,2,2,2,1,1,1,1,1,1,1
11,11,84,0.0003091002314454781,0,0,3,3,3,3,0,0,3,0,0,0,1,1,1,1,2,1,2,2,2,1,2,1,1
11,11,84,0.0001040646821063029,0,3,0,3,3,3,0,0,0,0,0,3,1,1,2,1,1,1,2,2,2,2,1,1,1
11,11,84,0.00020264487420970604,0,3,3,3,0,3,0,0,3,0,0,0,1,2,1,1,1,1,2,2,2,1,2,1,1
11,11,84,3.543824309565991e-05,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,3,3,0,3,3,3,0,0
11,11,84,0.0016128619446989028,0,3,3,0,3,3,3,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,1,1
11,11,84,0.00020559806113434442,0,3,3,0,3,3,0,3,0,0,0,0,1,1,1,1,2,1,2,2,2,1,2,1,1
11,11,84,0.000407117911753712,0,3,3,0,3,3,0,0,3,0,0,0,1,1,1,2,1,1,2,1,2,2,2,1,1
11,11,84,0.00040697728380491977,0,3,3,3,3,0,0,3,0,0,0,0,1,1,2,1,1,1,2,1,2,2,2,1,1
11,11,84,0.000705952302937352,0,3,0,3,3,3,0,3,0,0,0,0,1,1,2,1,1,1,2,2,2,1,2,1,1
11,11,84,0.000504713708215569,0,3,0,3,3,3,0,0,3,0,0,0,1,1,2,1,1,1,2,2,2,2,1,1,1
11,11,84,0.00040360221303390446,0,3,3,0,3,3,0,3,0,0,0,0,1,1,1,2,1,1,2,1,2,2,2,1,1
11,11,84,0.0005085106628329611,0,3,0,3,3,3,0,0,0,0,3,0,1,2,1,1,1,1,2,1,2,2,2,1,1
11,11,84,0.0008052356347847167,0,3,0,3,3,3,0,0,3,0,0,0,2,2,2,2,1,2,1,1,1,1,1,1,1
11,11,84,0.00020447303754400598,0,3,0,3,3,3,0,0,0,0,3,0,1,1,1,2,1,1,1,2,2,2,2,1,1
