MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22
11,11,58,0.0003197027386234605,0,0,0,2,0,0,0,2,2,2,0,3,3,3,1,1,1,1,1,3,1,1,1
11,11,58,0.001131807108781359,0,2,0,0,0,0,0,2,0,2,2,1,3,3,3,1,1,1,1,1,3,1,1
11,11,58,0.0004205535019424619,0,0,2,0,0,0,0,0,3,3,3,2,1,1,2,2,1,1,1,1,3,1,1
11,11,58,0.00046150019813362647,0,0,0,2,0,0,0,2,2,0,2,3,3,3,1,1,1,1,1,1,3,1,1
11,11,58,0.0037174516258579858,0,0,0,2,0,0,0,0,2,2,2,3,3,1,3,1,1,1,3,1,1,1,1
11,11,58,0.0003382925999458516,0,0,2,0,0,0,0,0,3,3,3,2,2,2,1,1,1,1,1,1,3,1,1
11,11,58,0.0005485693509170826,0,0,2,0,0,0,0,2,2,0,2,3,3,1,3,1,1,1,1,1,3,1,1
11,11,58,0.001885293695461405,0,0,0,2,0,0,0,2,2,0,2,3,1,1,1,1,1,1,3,3,3,1,1
11,11,58,6.33341568611281e-05,0,0,2,0,0,0,0,3,0,3,3,1,2,2,2,1,1,1,1,1,3,1,1
11,11,58,0.00015349651556478437,0,2,0,0,0,0,0,3,3,0,3,1,2,1,2,2,1,1,1,1,3,1,1
11,11,58,0.0002182394592806571,0,0,0,2,0,0,0,3,3,0,3,2,1,1,2,2,1,1,3,1,1,1,1
11,11,58,0.0005055094744438011,0,2,0,0,0,0,0,2,2,2,0,1,3,3,3,1,1,1,1,3,1,1,1
11,11,58,7.71157673966734e-05,0,2,0,0,0,0,0,3,3,0,3,2,1,2,1,2,1,1,1,1,3,1,1
11,11,58,7.75445286133348e-05,0,2,0,0,0,0,0,3,3,0,3,2,1,2,2,1,1,1,1,1,3,1,1
11,11,58,0.00013760172474712212,0,0,0,2,0,0,0,2,2,0,2,1,1,1,1,1,1,3,3,3,3,1,1
11,11,58,0.1132235869997926,2,2,2,2,0,0,0,0,2,2,2,1,3,3,3,1,1,1,3,3,3,3,3
11,11,58,3.111581400914224e-05,0,0,2,0,0,0,0,3,3,3,0,2,2,1,2,1,1,1,1,1,3,1,1
11,11,58,0.00020718354505103078,0,2,0,0,0,0,0,2,2,2,0,1,1,1,1,1,3,1,3,3,3,1,1
11,11,58,7.6993264191913e-05,0,0,0,2,0,0,0,3,3,3,0,1,2,2,1,2,1,1,3,1,1,1,1
11,11,58,0.0018186519520717469,0,0,0,2,0,0,0,2,0,2,2,3,3,1,3,1,1,1,3,1,1,1,1
11,11,58,0.00018712364527151488,0,0,0,2,0,0,0,0,3,3,3,2,1,2,1,2,1,1,1,1,3,1,1
11,11,58,0.0008473240415265142,0,0,2,0,0,0,0,2,2,2,0,3,1,3,3,1,1,1,3,1,1,1,1
11,11,58,4.652059200776286e-05,0,2,0,0,0,0,0,3,3,3,0,2,1,2,2,1,1,1,1,1,3,1,1
11,11,58,0.0004358970283387023,0,2,0,0,0,0,0,0,3,3,3,2,1,2,2,1,1,1,1,3,1,1,1
11,11,58,0.00013977615663161928,0,2,0,0,0,0,0,3,3,3,0,2,1,2,1,2,1,1,1,1,3,1,1
11,11,58,0.00038631385621192937,0,0,2,0,0,0,0,0,3,3,3,2,1,2,1,2,1,1,3,1,1,1,1
11,11,58,0.00034129392846248143,0,2,0,0,0,0,0,0,3,3,3,2,1,2,1,2,1,1,1,3,1,1,1
11,11,58,0.0007117436196579385,0,2,0,0,0,0,0,0,3,3,3,2,2,1,2,1,1,1,3,1,1,1,1
11,11,58,4.5509940568489536e-05,0,0,0,2,0,0,0,3,3,0,3,2,2,1,2,1,1,1,1,1,3,1,1
11,11,58,0.0005035187973664446,0,0,2,0,0,0,0,2,2,2,0,3,3,1,3,1,1,1,1,1,3,1,1
11,11,58,0.00023382799208641832,0,2,0,0,0,0,0,3,0,3,3,2,1,2,2,1,1,1,1,3,1,1,1
11,11,58,0.000342059573492234,0,0,2,0,0,0,0,3,0,3,3,2,1,1,2,2,1,1,3,1,1,1,1
11,11,58,0.006790934530091728,0,2,0,0,0,0,0,0,2,2,2,1,1,3,1,1,1,1,3,3,3,1,1
11,11,58,0.0005297651089863607,0,2,0,0,0,0,0,2,2,2,0,1,3,3,3,1,1,1,1,1,3,1,1
11,11,58,0.0003566374548587219,0,2,0,0,0,0,0,3,0,3,3,2,2,1,1,2,1,1,3,1,1,1,1
11,11,58,0.0002322967020269133,0,2,0,0,0,0,0,3,0,3,3,2,1,2,1,2,1,1,1,3,1,1,1
11,11,58,0.00012284008857349363,0,0,0,2,0,0,0,3,0,3,3,1,2,2,2,1,1,1,1,3,1,1,1
11,11,58,0.005834000746105838,2,2,2,2,0,0,0,3,0,3,3,1,1,2,2,2,1,1,3,3,3,3,3
11,11,58,0.000110467264892693,0,0,0,2,0,0,0,3,0,3,3,2,1,2,2,1,1,1,1,1,3,1,1
11,11,58,0.0008961109428223447,0,2,0,0,0,0,0,2,0,2,2,3,3,3,1,1,1,1,1,3,1,1,1
11,11,58,0.0006375066775731347,0,2,0,0,0,0,0,3,3,3,0,1,1,2,2,2,1,1,3,1,1,1,1
11,11,58,0.00010945661345341967,0,0,2,0,0,0,0,3,3,0,3,2,1,1,2,2,1,1,1,1,3,1,1
11,11,58,0.0001703100804181496,0,0,2,0,0,0,0,0,3,3,3,1,2,2,1,2,1,1,1,3,1,1,1
11,11,58,0.0027058507867477708,2,2,2,2,0,0,0,3,3,3,0,1,1,2,2,2,1,1,3,3,3,3,3
11,11,58,0.0010958217923829905,0,0,2,0,0,0,0,2,2,0,2,1,3,3,3,1,1,1,3,1,1,1,1
11,11,58,0.00010853783941771665,0,2,0,0,0,0,0,3,3,0,3,2,1,2,1,2,1,1,1,3,1,1,1
11,11,58,0.0003449383988041034,0,0,2,0,0,0,0,2,2,0,2,3,3,3,1,1,1,1,1,3,1,1,1
11,11,58,7.800391563118631e-05,0,2,0,0,0,0,0,3,3,0,3,2,1,2,2,1,1,1,1,3,1,1,1
11,11,58,0.0007788141242642592,0,0,0,2,0,0,0,2,2,2,0,3,3,1,3,1,1,1,3,1,1,1,1
11,11,58,0.0002450370353219952,0,0,2,0,0,0,0,3,3,0,3,2,2,2,1,1,1,1,3,1,1,1,1
11,11,58,0.00018553110360962962,0,0,2,0,0,0,0,3,0,3,3,2,1,2,2,1,1,1,3,1,1,1,1
11,11,58,0.0018514215593451527,0,2,0,0,0,0,0,0,3,3,3,2,1,1,2,2,1,1,3,1,1,1,1
11,11,58,0.0003763910966263368,0,2,0,0,0,0,0,0,3,3,3,2,1,2,2,1,1,1,1,1,3,1,1
11,11,58,7.72076448002437e-05,0,0,2,0,0,0,0,3,0,3,3,2,1,2,1,2,1,1,1,1,3,1,1
11,11,58,0.00036530455659552043,0,0,0,2,0,0,0,2,2,0,2,3,1,3,3,1,1,1,1,3,1,1,1
11,11,58,4.652059200776286e-05,0,0,0,2,0,0,0,3,3,0,3,1,2,2,2,1,1,1,1,1,3,1,1
11,11,58,0.0004825707493524156,0,2,0,0,0,0,0,2,2,0,2,3,3,1,3,1,1,1,1,1,3,1,1
11,11,58,0.0003696227945633246,0,2,0,0,0,0,0,2,2,0,2,3,3,3,1,1,1,1,1,3,1,1,1
11,11,58,0.01202007570269304,2,2,2,2,0,0,0,0,3,3,3,1,1,2,2,2,1,1,3,3,3,3,3
11,11,58,0.006588130474610872,0,0,0,2,0,0,0,0,2,2,2,1,3,1,1,1,1,1,3,3,3,1,1
11,11,58,0.0007249127141696815,0,2,0,0,0,0,0,3,0,3,3,2,1,1,2,2,1,1,3,1,1,1,1
11,11,58,0.0002165550402152016,0,2,0,0,0,0,0,3,0,3,3,2,1,2,2,1,1,1,1,1,3,1,1
11,11,58,0.00010807845239986513,0,0,2,0,0,0,0,3,3,3,0,2,2,2,1,1,1,1,1,1,3,1,1
11,11,58,0.0010362852348694354,0,0,2,0,0,0,0,0,2,2,2,1,1,1,1,1,3,1,3,3,3,1,1
11,11,58,3.1605826828183855e-05,0,0,0,2,0,0,0,3,3,0,3,2,1,2,2,1,1,1,3,1,1,1,1
11,11,58,0.0003722259876644831,0,0,2,0,0,0,0,0,3,3,3,2,2,2,1,1,1,1,1,3,1,1,1
11,11,58,0.00023336860506856683,0,2,0,0,0,0,0,3,0,3,3,2,1,2,1,2,1,1,1,1,3,1,1
11,11,58,0.00018494921338701773,0,0,0,2,0,0,0,3,3,3,0,1,1,2,2,2,1,1,1,3,1,1,1
11,11,58,4.777624985655699e-05,0,0,0,2,0,0,0,3,3,0,3,2,1,2,2,1,1,1,1,3,1,1,1
11,11,58,3.1912084840084856e-05,0,0,0,2,0,0,0,3,3,0,3,2,1,2,1,2,1,1,1,1,3,1,1
11,11,58,4.661246941133317e-05,0,0,2,0,0,0,0,3,0,3,3,2,2,1,1,2,1,1,1,3,1,1,1
11,11,58,0.0008961415686235347,0,0,2,0,0,0,0,2,2,0,2,1,1,1,3,1,1,1,3,3,3,1,1
11,11,58,0.0007159087286197921,0,2,0,0,0,0,0,3,3,0,3,1,1,2,2,2,1,1,3,1,1,1,1
11,11,58,0.0009440096958836621,0,0,2,0,0,0,0,2,0,2,2,1,3,3,3,1,1,1,1,1,3,1,1
11,11,58,0.0005274681738971033,0,0,2,0,0,0,0,2,2,2,0,3,3,3,1,1,1,1,1,1,3,1,1
11,11,58,7.73913996073843e-05,0,0,0,2,0,0,0,3,3,0,3,2,2,1,2,1,1,1,3,1,1,1,1
11,11,58,6.24766344278053e-05,0,0,0,2,0,0,0,3,3,0,3,2,2,2,1,1,1,1,1,1,3,1,1
11,11,58,6.26603892349459e-05,0,0,0,2,0,0,0,3,0,3,3,2,1,2,2,1,1,1,1,3,1,1,1
11,11,58,0.0033457769026149216,0,2,0,0,0,0,0,0,3,3,3,1,1,2,2,2,1,1,3,1,1,1,1
11,11,58,0.0001705244610264803,0,0,2,0,0,0,0,0,3,3,3,2,1,2,2,1,1,1,1,1,3,1,1
11,11,58,0.00036551893720385104,0,2,0,0,0,0,0,2,0,2,2,1,1,1,1,1,1,3,3,3,3,1,1
11,11,58,0.0034869924719024797,0,0,0,2,0,0,0,2,0,2,2,1,3,1,1,1,1,1,3,3,3,1,1
11,11,58,4.599995338753115e-05,0,0,2,0,0,0,0,3,3,0,3,2,2,1,2,1,1,1,1,3,1,1,1
11,11,58,0.0014675577672284318,2,2,2,2,0,0,0,3,0,3,3,2,2,1,2,1,1,1,3,3,3,3,3
11,11,58,0.00017355641534430027,0,2,0,0,0,0,0,3,3,0,3,1,2,2,2,1,1,1,1,3,1,1,1
11,11,58,0.0004353151381160905,0,0,2,0,0,0,0,2,2,0,2,3,3,3,1,1,1,1,1,1,3,1,1
11,11,58,0.00020075212680110963,0,2,0,0,0,0,0,3,0,3,3,1,2,2,2,1,1,1,1,3,1,1,1
11,11,58,0.0018381299616286495,0,0,0,2,0,0,0,2,2,2,0,1,3,1,1,1,1,1,3,3,3,1,1
