MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14
11,11,51,0.0003938737483146747,2,5,5,4,2,5,2,6,3,6,7,6,3,3,3
11,11,51,0.0010149823514262772,2,5,5,2,4,5,2,6,6,3,7,6,6,7,3
11,11,51,0.0009493367267071646,2,2,2,2,5,5,2,6,6,3,3,3,3,3,3
11,11,51,0.0011917205718238876,5,4,5,5,4,5,2,6,3,6,3,3,3,3,3
11,11,51,0.00042417172895426505,5,5,2,2,4,5,2,6,6,7,7,6,6,3,3
11,11,51,0.0042013199820231965,2,5,5,2,4,5,2,6,6,3,6,7,3,3,3
11,11,51,0.0008230951407088716,5,2,5,2,4,5,2,3,6,6,6,7,3,3,3
11,11,51,0.00034337711391535747,4,5,2,5,2,5,2,3,6,6,3,3,3,3,3
11,11,51,0.0003534764407952209,5,5,4,5,4,5,2,6,6,6,7,7,6,3,3
11,11,51,0.00037872475799487947,4,5,5,4,5,5,2,3,6,6,3,3,3,3,3
11,11,51,0.00041407240207440163,5,2,4,2,5,5,2,6,6,3,6,7,6,7,3
11,11,51,0.0011210252836648432,5,5,2,2,4,2,5,6,6,3,3,7,6,3,3
11,11,51,0.0003383274504754257,5,5,2,2,4,5,2,6,7,6,6,3,7,6,3
11,11,51,0.001090727303025253,5,2,5,2,4,5,2,6,6,3,6,3,7,3,3
11,11,51,0.0017673822039761043,5,5,4,5,4,5,2,6,6,3,3,6,7,3,3
11,11,51,0.00027268182575631325,5,5,4,5,4,5,2,6,3,6,3,3,7,6,3
11,11,51,0.03607479561487226,5,2,5,2,4,5,2,6,6,3,3,3,3,3,3
11,11,51,0.00037872475799487947,2,5,2,5,4,2,5,6,6,3,3,3,3,3,3
11,11,51,0.000368625431115016,5,2,5,2,4,2,5,6,6,6,7,3,3,3,3
11,11,51,0.003615559022991117,5,5,2,2,4,5,2,6,7,6,6,3,3,3,3
11,11,51,0.00035852610423515254,2,5,5,4,2,5,2,6,6,3,6,3,7,3,3
11,11,51,0.0008079461503890763,5,2,5,2,4,5,2,3,6,6,3,6,7,3,3
11,11,51,0.0007423005256699637,5,5,2,2,4,2,5,6,6,7,6,3,6,7,3
11,11,51,0.00029288047951604013,5,5,2,4,2,5,2,6,6,7,6,7,6,3,3
11,11,51,0.001646190281417743,5,5,4,5,4,5,2,6,3,6,3,3,3,3,3
11,11,51,0.0004090227386344699,4,2,2,5,5,5,2,6,6,3,7,6,3,3,3
11,11,51,0.00029288047951604013,5,5,4,5,4,2,5,6,6,7,6,3,3,3,3
11,11,51,0.00041407240207440163,5,5,4,5,4,5,2,6,6,3,7,6,6,7,3
11,11,51,0.000666555574070988,5,5,2,2,4,5,2,3,6,6,3,6,3,7,3
11,11,51,0.0003080294698358353,5,5,2,2,4,2,5,6,3,6,6,7,3,3,3
11,11,51,0.00041407240207440163,4,5,5,2,2,5,2,6,6,6,7,3,3,3,3
11,11,51,0.02671271959723883,5,5,2,2,4,5,2,6,6,3,6,7,3,3,3
11,11,51,0.0028682088338812203,5,5,2,2,4,5,2,6,6,6,7,7,6,3,3
11,11,51,0.00034337711391535747,4,5,5,4,5,5,2,6,6,7,6,3,3,3,3
11,11,51,0.0003080294698358353,5,2,5,4,2,5,2,3,3,6,6,3,3,3,3
11,11,51,0.0006564562471911245,5,2,5,2,4,5,2,6,3,3,6,3,3,3,3
11,11,51,0.0024339377780470918,5,5,4,5,4,5,2,6,6,3,6,7,3,3,3
11,11,51,0.0003484267773552892,5,5,2,2,4,5,2,6,6,7,6,7,3,6,3
11,11,51,0.0003938737483146747,5,4,5,5,4,5,2,6,6,3,3,6,7,3,3
11,11,51,0.0003080294698358353,5,5,2,2,4,2,5,3,6,6,3,7,6,3,3
11,11,51,0.0006918038912706464,2,5,2,5,4,5,2,6,6,3,3,3,6,7,3
11,11,51,0.0014442037438204738,5,5,2,2,4,5,2,6,6,7,3,6,3,3,3
11,11,51,0.00035852610423515254,5,5,4,4,5,5,2,6,3,6,3,6,7,3,3
