MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15
11,11,93,0.4965279871801772,105,93,81,69,57,46,35,24,36,48,60,72,83,94,105,116
11,11,93,0.0002500138263537063,105,93,81,69,57,46,35,24,36,48,60,71,83,94,105,116
11,11,93,0.00034717349030797016,105,93,81,69,57,46,35,24,36,48,59,71,83,94,105,116
11,11,93,0.00016665272451422855,105,93,81,69,57,46,36,24,36,48,60,72,83,94,105,116
11,11,93,0.00033331934486140245,105,93,81,70,58,46,35,24,36,48,60,72,83,94,105,116
11,11,93,0.00015275689156882467,105,93,81,69,57,46,35,24,36,48,60,72,83,95,105,116
11,11,93,0.49948571522277446,105,93,92,91,90,91,92,93,105,116
11,11,93,0.00013895832945403863,105,93,92,91,90,91,81,93,105,116
11,11,93,0.0004582984663723647,105,93,81,69,57,46,35,24,35,47,59,71,83,94,105,116
11,11,93,1.388193711245846e-05,105,93,81,71,59,47,35,24,36,48,60,72,83,94,105,116
11,11,93,0.00013895832945403863,105,93,92,80,90,91,92,93,105,116
11,11,93,0.00020832632751749473,105,93,81,69,57,47,35,24,36,48,60,72,83,94,105,116
11,11,93,0.00020832632751749473,105,93,81,69,57,46,35,24,36,48,60,72,84,94,105,116
11,11,93,0.00016663882868128314,105,93,81,69,57,46,35,24,36,48,60,72,82,94,105,116
11,11,93,0.0001388888502893116,105,93,81,69,57,46,35,24,36,48,60,72,83,93,105,116
11,11,93,0.0002916457418581362,105,93,81,69,58,46,35,24,36,48,60,72,83,94,105,116
11,11,93,0.00026402082596267343,105,93,92,91,90,80,92,93,105,116
11,11,93,0.0002223333271264618,105,93,81,91,90,91,92,93,105,116
11,11,93,0.0002221943687970078,105,93,82,70,58,46,35,24,36,48,60,72,83,94,105,116
11,11,93,0.0002639096592991102,105,93,81,69,57,46,35,24,36,47,59,71,83,94,105,116
