MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15
11,11,51,0.0006918038912706464,105,94,84,73,63,51,41,30,40,50,61,72,83,93,105,116
11,11,51,0.001474501724460064,105,95,85,74,63,51,40,30,40,50,61,72,82,94,105,116
11,11,51,0.00029793014295597184,105,95,83,73,62,51,41,30,40,50,62,72,83,94,105,116
11,11,51,0.0006817045643907831,105,94,84,74,63,51,41,30,40,50,62,73,83,94,105,116
11,11,51,0.0010351810051860038,105,95,83,73,63,51,41,30,40,50,61,72,84,94,105,116
11,11,51,0.0003635757676750843,105,94,84,73,63,51,41,30,41,51,61,72,83,95,105,116
11,11,51,0.0003736750945549477,105,95,83,73,61,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.000368625431115016,105,95,84,74,63,51,40,30,40,50,60,72,83,94,105,116
11,11,51,0.0013785581191013614,105,95,85,74,63,51,40,30,40,50,61,73,83,94,105,116
11,11,51,0.00041407240207440163,105,94,83,72,62,51,41,30,40,50,61,72,84,94,105,116
11,11,51,0.00037872475799487947,105,95,85,74,63,51,40,30,41,51,61,72,83,95,105,116
11,11,51,0.0012624158599829315,105,95,85,74,63,51,41,30,40,50,61,72,84,95,105,116
11,11,51,0.0003080294698358353,105,94,84,73,63,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.001646190281417743,105,95,85,73,63,51,41,30,40,51,61,72,83,94,105,116
11,11,51,0.0003736750945549477,105,95,85,73,63,51,41,30,41,51,62,72,83,94,105,116
11,11,51,0.00207541167381194,105,95,85,74,63,51,40,30,41,51,61,72,83,94,105,116
11,11,51,0.020976301929476387,105,95,85,74,63,51,41,30,40,50,61,72,84,94,105,116
11,11,51,0.0003938737483146747,105,94,84,74,63,51,41,30,40,50,60,72,84,94,105,116
11,11,51,0.00041407240207440163,105,94,84,73,62,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.00037872475799487947,105,95,84,74,63,51,41,30,41,52,62,72,83,94,105,116
11,11,51,0.0007473501891098954,105,95,85,73,63,51,41,30,41,51,61,73,83,94,105,116
11,11,51,0.0007473501891098955,105,95,85,74,62,51,41,30,40,50,61,72,83,95,105,116
11,11,51,0.00042417172895426505,105,95,83,73,63,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.00029288047951604013,105,95,85,73,63,51,40,30,40,50,62,72,83,94,105,116
11,11,51,0.0010301313417460723,105,93,83,73,61,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.00042417172895426505,105,95,85,74,62,51,41,30,41,51,61,73,83,95,105,116
11,11,51,0.00038882408487474294,105,95,85,74,63,51,41,30,41,51,61,72,83,93,105,116
11,11,51,0.00037872475799487947,105,95,85,73,63,51,40,30,40,51,61,73,83,94,105,116
11,11,51,0.0034691187832330966,105,95,85,74,63,51,40,30,40,50,61,71,83,94,105,116
11,11,51,0.0194008069362177,105,95,85,74,62,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.00037872475799487947,105,95,85,74,63,51,40,30,41,51,61,72,83,93,105,116
11,11,51,0.00032822812359556224,105,95,85,73,62,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.0021006599910115983,105,95,85,73,63,51,41,30,40,50,61,72,84,94,105,116
11,11,51,0.0029793014295597187,105,94,84,74,63,51,41,30,40,50,62,72,83,94,105,116
11,11,51,0.0008331944675887349,105,93,83,71,61,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.0003635757676750843,105,95,85,73,63,51,41,30,41,51,61,72,83,93,105,116
11,11,51,0.000368625431115016,105,95,85,73,63,51,41,30,40,50,61,72,84,95,105,116
11,11,51,0.0004090227386344699,105,95,84,74,63,51,41,30,41,51,62,73,83,94,105,116
11,11,51,0.0007170522084703053,105,95,84,74,63,51,41,30,40,50,61,73,84,94,105,116
11,11,51,0.00029793014295597184,105,94,84,74,63,51,41,30,41,51,61,72,82,93,105,116
11,11,51,0.0006312079299914658,105,94,83,73,63,51,41,30,40,51,61,72,83,94,105,116
11,11,51,0.00037872475799487947,105,95,84,74,62,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.0010604293223856628,105,95,85,74,63,51,41,30,41,51,62,72,83,95,105,116
11,11,51,0.0003484267773552892,105,95,85,74,63,51,41,30,40,50,61,71,81,93,105,116
11,11,51,0.0003484267773552892,105,95,85,74,63,51,40,30,40,50,60,71,83,94,105,116
11,11,51,0.001711835906136855,105,95,85,74,63,51,41,30,40,50,62,72,82,94,105,116
11,11,51,0.00035852610423515254,105,93,83,73,63,51,41,30,40,52,62,72,83,94,105,116
11,11,51,0.0003938737483146747,105,94,84,74,62,51,41,30,40,51,61,73,83,94,105,116
11,11,51,0.00037872475799487947,105,94,84,72,62,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.0038124958971484536,105,95,85,74,63,51,41,30,41,51,62,72,83,94,105,116
11,11,51,0.0007523998525498273,105,94,84,74,62,51,41,30,40,50,61,72,83,93,105,116
11,11,51,0.000368625431115016,105,95,85,74,62,51,40,30,40,50,61,73,83,94,105,116
11,11,51,0.00041912206551433334,105,95,84,73,63,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.00037872475799487947,105,94,84,74,63,51,40,30,40,51,61,72,84,94,105,116
11,11,51,0.0033428771972348033,105,95,84,74,63,51,41,30,40,51,61,72,83,94,105,116
11,11,51,0.0003736750945549477,105,95,85,74,62,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.0003635757676750843,105,94,84,74,63,51,41,30,41,52,62,72,83,94,105,116
11,11,51,0.0007019032181505101,105,95,85,73,63,51,41,30,41,51,61,72,84,94,105,116
11,11,51,0.0018936237899743978,105,94,84,74,63,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.000368625431115016,105,95,85,74,62,51,41,30,41,51,61,71,83,94,105,116
11,11,51,0.0004090227386344699,105,95,84,74,63,51,41,30,40,51,61,71,83,94,105,116
11,11,51,0.00027268182575631325,105,95,85,74,63,51,40,30,41,51,61,73,83,94,105,116
11,11,51,0.00042417172895426505,105,95,85,73,62,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.00032822812359556224,105,94,84,74,63,51,41,30,41,52,62,72,84,94,105,116
11,11,51,0.00041912206551433334,105,93,83,73,62,51,41,30,40,50,61,73,83,94,105,116
