1,2,3,trial_num,map,A,B,C,wrong_objective,unique_id,wrong_attempts,age
0.35,0.16,0.72,1,PX_DX_0,0.49,0.18,0.81,0,8TwVZuH,0,29
0.54,0.75,-1,2,DX_PX_0,0.23,0.74,0.1,0,8TwVZuH,0,29
0.72,0.49,0.19,3,PX_UN_0,0.3,0.63,0.2,1,8TwVZuH,0,29
0.58,0.35,0.77,4,PX_PX_0,0.66,0.31,0.54,0,8TwVZuH,0,29
0.88,0.18,-1,5,DX_UN_0,0.39,0.51,0.84,0,8TwVZuH,0,29
0.44,0.64,-1,6,DX_DX_0,0.15,0.09,0.83,0,8TwVZuH,0,29
0.87,0.45,0.2,7,PX_NX_0,0.5,0.66,0.25,0,8TwVZuH,0,29
0.81,0.21,-1,8,DX_NX_0,0.76,0.16,0.5,1,8TwVZuH,0,29
-1,-1,-1,9,ND_DX_1,0.54,0.78,0.14,0,8TwVZuH,0,29
0.72,0.49,0.12,10,NX_DX_0,0.15,0.07,0.83,0,8TwVZuH,0,29
0.51,0.67,0.39,11,NX_NX_0,0.67,0.42,0.23,0,8TwVZuH,0,29
-1,-1,-1,12,ND_UN_0,0.09,0.04,0.9,0,8TwVZuH,0,29
0.08,0.52,0.85,13,NX_PX_0,0.25,0.04,0.73,0,8TwVZuH,0,29
-1,-1,-1,14,ND_NX_1,0.16,0.93,0.07,0,8TwVZuH,0,29
0.47,0.8,-1,15,UN_UN_0,0.31,0.2,0.77,0,8TwVZuH,0,29
0.28,0.69,-1,16,UN_DX_0,0.12,0.07,0.86,0,8TwVZuH,0,29
-1,-1,-1,17,ND_PX_1,0.82,0.51,0.05,0,8TwVZuH,0,29
0.66,0.39,-1,18,UN_PX_0,0.54,0.28,0.49,0,8TwVZuH,0,29
-1,-1,-1,19,ND_NX_0,0.71,0.14,0.6,0,8TwVZuH,0,29
-1,-1,-1,20,ND_DX_0,0.79,0.27,0.52,0,8TwVZuH,0,29
0.83,0.51,0.06,21,NX_UN_0,0.35,0.77,0.08,0,8TwVZuH,0,29
0.31,0.82,-1,22,UN_NX_0,0.04,0.85,0.36,0,8TwVZuH,0,29
-1,-1,-1,23,ND_PX_0,0.82,0.17,0.45,0,8TwVZuH,0,29
-1,-1,-1,1,ND_PX_0,1,0,0,0,SCFEMOX,0,38
1,0,-1,2,DX_UN_0,0.5,0.5,0.5,0,SCFEMOX,0,38
-1,-1,-1,3,ND_NX_0,0.53,0,0.5,0,SCFEMOX,0,38
0.75,0.74,0,4,NX_PX_0,0.66,0,0.68,0,SCFEMOX,0,38
0.5,0.5,-1,5,UN_DX_0,0,0,1,0,SCFEMOX,0,38
0.55,0.55,0,6,NX_DX_0,0,0,1,0,SCFEMOX,0,38
-1,-1,-1,7,ND_DX_1,1,0,0,0,SCFEMOX,0,38
-1,-1,-1,8,ND_UN_0,0.62,0.62,0.62,0,SCFEMOX,0,38
0.64,0.29,0,9,PX_UN_0,0.65,0.49,0.67,7,SCFEMOX,0,38
-1,-1,-1,10,ND_DX_0,1,0,0,0,SCFEMOX,0,38
-1,-1,-1,11,ND_PX_1,0.64,0.63,0,0,SCFEMOX,0,38
1,0,-1,12,DX_DX_0,0,0,1,0,SCFEMOX,0,38
0.66,0.65,0,13,PX_NX_0,0.65,0.64,0,0,SCFEMOX,0,38
0.75,0,0.76,14,PX_DX_0,0,0,1,0,SCFEMOX,0,38
1,0,-1,15,DX_NX_0,0.77,0,0.76,0,SCFEMOX,0,38
-1,-1,-1,16,ND_NX_1,0.78,0,0.49,0,SCFEMOX,0,38
0.58,0.57,-1,17,UN_UN_0,0.76,0.75,0.74,0,SCFEMOX,0,38
0.7,0.7,0,18,NX_UN_0,0.69,0.69,0.69,0,SCFEMOX,0,38
0,0.66,0.71,19,NX_NX_0,0.68,0.69,0.67,0,SCFEMOX,0,38
0.7,0.68,0,20,PX_PX_0,0.71,0,0.71,0,SCFEMOX,0,38
0,1,-1,21,DX_PX_0,0.39,0.63,0,0,SCFEMOX,0,38
0.67,0.65,-1,22,UN_PX_0,0.72,0,0.7,0,SCFEMOX,0,38
0.59,0.57,-1,23,UN_NX_0,0,0.62,0.62,0,SCFEMOX,0,38
0.15,0.08,0.82,1,PX_DX_0,0,0,1,0,DK3ho0E,1,39
-1,-1,-1,2,ND_DX_0,1,0,0,0,DK3ho0E,1,39
-1,-1,-1,3,ND_NX_1,0.77,0,0.45,0,DK3ho0E,1,39
1,0,-1,4,DX_PX_0,0.42,0,1,0,DK3ho0E,1,39
1,0,-1,5,DX_NX_0,0,0,1,1,DK3ho0E,1,39
