1,2,3,trial_num,layout,A,B,C,unique_id
0.6,0.3,-1,1,DX_DX_0,0,0,0.88,lKjemnd
0.84,0.17,-1,2,DX_NX_0,0.56,0.05,0.76,lKjemnd
0.58,0.7,0,3,PX_UN_0,0.37,0.6,0.47,lKjemnd
0.1,0.9,-1,4,DX_PX_0,0.79,0.46,0.04,lKjemnd
0.67,0.54,0,5,NX_PX_0,0.7,0.55,0.38,lKjemnd
0.54,0.7,0.05,6,NX_DX_0,0.08,0.02,0.88,lKjemnd
-1,-1,-1,7,ND_NX_1,0.89,0.04,0.33,lKjemnd
0.62,0.09,0.72,8,PX_DX_0,0,0,1,lKjemnd
0.74,0.8,-1,9,UN_DX_0,0,0,1,lKjemnd
-1,-1,-1,10,ND_PX_0,1,0,0,lKjemnd
0.75,0.63,0,11,PX_NX_0,0.72,0.79,0,lKjemnd
0,1,-1,12,DX_UN_0,0.68,0.67,0.56,lKjemnd
0.68,0.68,-1,13,UN_UN_0,0.49,0.49,0.49,lKjemnd
0.56,0.63,-1,14,UN_NX_0,0,0.76,0.66,lKjemnd
-1,-1,-1,15,ND_DX_1,1,0,0,lKjemnd
0.65,0.54,0,16,NX_UN_0,0.64,0.33,0.53,lKjemnd
-1,-1,-1,17,ND_PX_1,0.6,0.75,0,lKjemnd
-1,-1,-1,18,ND_NX_0,0.59,0,0.59,lKjemnd
0.67,0.67,-1,19,UN_PX_0,0.58,0,0.58,lKjemnd
0,0.68,0.68,20,NX_NX_0,0.6,0,0.59,lKjemnd
0.89,0.33,0,21,PX_PX_0,0.14,0,0.87,lKjemnd
-1,-1,-1,22,ND_UN_0,0.69,0.68,0.35,lKjemnd
-1,-1,-1,23,ND_DX_0,1,0,0,lKjemnd
0.84,0.13,0.05,1,NX_DX_0,0.04,0.05,0.9,qSif2NR
-1,-1,-1,2,ND_PX_0,0.03,0.98,0.01,qSif2NR
0.04,0.93,0.02,3,NX_NX_0,0.47,0,0.88,qSif2NR
0.84,0.05,0.05,4,NX_PX_0,0.87,0.03,0.01,qSif2NR
0.85,0.04,0.04,5,PX_PX_0,0.01,0.02,0.88,qSif2NR
0.81,0.1,-1,6,DX_NX_0,0.05,0.06,0.87,qSif2NR
0.81,0.04,0.01,7,PX_UN_0,0.91,0.01,0.04,qSif2NR
0.89,0.05,-1,8,DX_DX_0,0.1,0.14,0.87,qSif2NR
0.89,0.11,-1,9,UN_NX_0,0.04,0.04,0.83,qSif2NR
0.05,0.02,0.85,10,PX_DX_0,0.03,0.07,0.86,qSif2NR
0.74,0.03,-1,11,UN_DX_0,0.05,0,0.83,qSif2NR
-1,-1,-1,12,ND_DX_1,0.86,0.07,0.01,qSif2NR
-1,-1,-1,13,ND_NX_1,0.03,0.23,0.79,qSif2NR
0.75,0.04,-1,14,DX_PX_0,0.03,0,0.9,qSif2NR
0.71,0.27,0.02,15,PX_NX_0,0.85,0.06,0.02,qSif2NR
0.89,0.02,-1,16,UN_PX_0,0.84,0.04,0.22,qSif2NR
0.87,0.01,-1,17,UN_UN_0,0.82,0.05,0.02,qSif2NR
-1,-1,-1,18,ND_DX_0,0.92,0.03,0.01,qSif2NR
-1,-1,-1,19,ND_UN_0,0.91,0.32,0.04,qSif2NR
-1,-1,-1,20,ND_PX_1,0.91,0.05,0.04,qSif2NR
0.06,0.77,-1,21,DX_UN_0,0.33,0.07,0.74,qSif2NR
-1,-1,-1,22,ND_NX_0,0.89,0.06,0.35,qSif2NR
0.85,0.01,0.04,23,NX_UN_0,0.89,0.05,0.03,qSif2NR
0,0.69,0.49,1,NX_NX_0,0.59,0,0.56,xTcWaGJ
