1,2,3,trial_num,map,A,B,C,unique_id
-1,-1,-1,1,ND_NX_0,0.85,0.66,0.68,a90O8lT
0.07,0,0.83,2,PX_DX_0,0.55,0.16,0.81,a90O8lT
0.66,0.65,-1,3,UN_UN_0,0.78,0.74,0.75,a90O8lT
-1,-1,-1,4,ND_PX_1,0.68,0.84,0.14,a90O8lT
0.7,0.46,-1,5,DX_DX_0,0.17,0.4,0.69,a90O8lT
0.71,0.44,-1,6,DX_NX_0,0.5,0.05,0.37,a90O8lT
0.79,0.37,-1,7,UN_DX_0,0.26,0.36,0.78,a90O8lT
0.88,0.33,-1,8,UN_PX_0,0.68,0.09,0.69,a90O8lT
0.19,0.67,0.55,9,NX_NX_0,0.56,0.05,0.81,a90O8lT
0.51,0.71,-1,10,DX_UN_0,0.65,0.6,0.29,a90O8lT
-1,-1,-1,11,ND_DX_1,0.41,0.65,0.29,a90O8lT
0.72,0.54,0.29,12,PX_UN_0,0.61,0.25,0.49,a90O8lT
0.57,0.37,0.6,13,PX_NX_0,0.62,0.58,0.14,a90O8lT
0.35,0.62,0.44,14,NX_PX_0,0.53,0.58,0.32,a90O8lT
-1,-1,-1,15,ND_DX_0,0.47,0.51,0.34,a90O8lT
0.61,0.59,-1,16,UN_NX_0,0.57,0.14,0.58,a90O8lT
-1,-1,-1,17,ND_PX_0,0.4,0.44,0.19,a90O8lT
0.65,0.43,0.28,18,NX_DX_0,0.43,0.48,0.64,a90O8lT
-1,-1,-1,19,ND_UN_0,0.43,0.38,0.58,a90O8lT
0.69,0.57,0.31,20,NX_UN_0,0.63,0.49,0.16,a90O8lT
0.37,0.64,-1,21,DX_PX_0,0.43,0.54,0.14,a90O8lT
0.36,0.45,0.68,22,PX_PX_0,0.52,0.6,0.22,a90O8lT
-1,-1,-1,23,ND_NX_1,0.52,0.7,0.26,a90O8lT
0.66,0.41,0.14,1,NX_PX_0,0.25,0.77,0.13,MgxzgPS
-1,-1,-1,2,ND_UN_0,0.48,0.2,0.67,MgxzgPS
0.56,0.26,0.74,3,NX_DX_0,0.49,0.24,0.72,MgxzgPS
-1,-1,-1,4,ND_DX_0,0.83,0.22,0.45,MgxzgPS
-1,-1,-1,5,ND_NX_1,0.67,0.81,0.12,MgxzgPS
0.32,0.59,0.74,6,NX_NX_0,0.51,0.14,0.83,MgxzgPS
0.48,0.46,0.45,7,PX_PX_0,0.51,0.49,0.48,MgxzgPS
0.47,0.47,-1,8,UN_DX_0,0.02,0.01,0.97,MgxzgPS
-1,-1,-1,9,ND_PX_0,0.5,0.49,0,MgxzgPS
0.45,0.45,-1,10,UN_PX_0,0.49,0,0.49,MgxzgPS
0.49,0.49,0,11,NX_UN_0,0.5,0.5,0.5,MgxzgPS
0,1,-1,12,DX_UN_0,0.48,0.48,0.5,MgxzgPS
-1,-1,-1,13,ND_NX_0,0.48,0,0.48,MgxzgPS
0.48,0.48,0,14,PX_UN_0,0.51,0.21,0.49,MgxzgPS
0.47,0.46,-1,15,UN_NX_0,0.46,0,0.46,MgxzgPS
0.47,0.46,0,16,PX_NX_0,0.51,0.51,0,MgxzgPS
0,0.99,-1,17,DX_PX_0,0.49,0.5,0,MgxzgPS
0.48,0.49,-1,18,DX_DX_0,0,0,1,MgxzgPS
-1,-1,-1,19,ND_DX_1,1,0,0,MgxzgPS
0.45,0.42,-1,20,UN_UN_0,0.5,0.51,0.5,MgxzgPS
1,0,-1,21,DX_NX_0,0.52,0,0.53,MgxzgPS
0.47,0,0.46,22,PX_DX_0,0,0,0.98,MgxzgPS
-1,-1,-1,23,ND_PX_1,0.47,0.52,0,MgxzgPS
-1,-1,-1,1,ND_PX_0,0.86,0,0.41,Bg7hmui
-1,-1,-1,2,ND_DX_0,1,0.02,0.03,Bg7hmui
0.7,0.1,-1,3,DX_NX_0,0.51,0.01,0.51,Bg7hmui
0.32,0.59,-1,4,UN_NX_0,0.03,0.61,0.42,Bg7hmui
-1,-1,-1,5,ND_NX_0,0.46,0.03,0.5,Bg7hmui
-1,-1,-1,6,ND_UN_0,0.33,0.32,0.34,Bg7hmui
0.45,0.46,0.01,7,NX_DX_0,0.03,0.03,0.97,Bg7hmui
0.33,0.55,-1,8,DX_PX_0,0.38,0.63,0.15,Bg7hmui
0.61,0.39,-1,9,UN_DX_0,0.03,0.02,0.99,Bg7hmui
0.31,0.59,-1,10,DX_DX_0,0.02,0.04,0.97,Bg7hmui
0.38,0.38,0.38,11,NX_PX_0,0.34,0.77,0.01,Bg7hmui
0.55,0.39,0.25,12,PX_NX_0,0.49,0.51,0.03,Bg7hmui
0.46,0.46,0.03,13,PX_UN_0,0.23,0.7,0.02,Bg7hmui
-1,-1,-1,14,ND_NX_1,0.8,0.06,0.16,Bg7hmui
0.01,0.97,-1,15,DX_UN_0,0.35,0.38,0.37,Bg7hmui
-1,-1,-1,16,ND_DX_1,0.88,0.09,0.02,Bg7hmui
0.35,0.01,0.64,17,PX_DX_0,0.04,0.01,0.97,Bg7hmui
0.47,0.49,-1,18,UN_PX_0,0.47,0.01,0.51,Bg7hmui
-1,-1,-1,19,ND_PX_1,0.38,0.57,0.02,Bg7hmui
0.31,0.29,0.28,20,NX_UN_0,0.32,0.34,0.36,Bg7hmui
0.02,0.48,0.47,21,NX_NX_0,0.43,0.18,0.43,Bg7hmui
0.47,0.47,-1,22,UN_UN_0,0.33,0.37,0.36,Bg7hmui
0.38,0.1,0.46,23,PX_PX_0,0.17,0.31,0.61,Bg7hmui
0.05,0.4,0.98,1,PX_PX_0,0.31,0.96,0.06,qxGSLbd
0.83,0.58,0.17,2,NX_DX_0,0.6,0.23,1,qxGSLbd
-1,-1,-1,3,ND_PX_0,1,0.44,0,qxGSLbd
1,0.37,-1,4,UN_UN_0,0.32,0.96,0.08,qxGSLbd
1,0.35,0.06,5,NX_PX_0,1,0.41,0.06,qxGSLbd
-1,-1,-1,6,ND_PX_1,0.45,1,0.06,qxGSLbd
-1,-1,-1,7,ND_NX_0,0.92,0.06,0.58,qxGSLbd
