1,2,3,trial_num,map,A,B,C,unique_id,wrong_attempts
0.63,0.66,0.83,1,NX_PX_0,0.44,0.45,0.62,3bcOC7j,0
0.62,0.88,-1,2,DX_DX_0,0.21,0.3,0.27,3bcOC7j,0
0.74,0.86,-1,3,UN_DX_0,0.53,0.62,0.58,3bcOC7j,0
-1,-1,-1,4,ND_DX_1,0.19,0.38,0.39,3bcOC7j,0
0.55,0.88,0.78,5,PX_NX_0,0.61,0.48,0.35,3bcOC7j,0
-1,-1,-1,6,ND_PX_1,0.25,0.64,0.56,3bcOC7j,0
-1,-1,-1,7,ND_NX_0,0.7,0.68,0.58,3bcOC7j,0
-1,-1,-1,8,ND_PX_0,0.79,0.63,0.58,3bcOC7j,0
-1,-1,-1,9,ND_UN_0,0.5,0.7,0.59,3bcOC7j,0
0.67,0.8,0.81,10,NX_DX_0,0.33,0.42,0.47,3bcOC7j,0
0.58,0.73,0.73,11,PX_DX_0,0.68,0.74,0.3,3bcOC7j,0
0.49,0.68,-1,12,UN_UN_0,0.62,0.6,0.52,3bcOC7j,0
0.63,0.79,0.74,13,PX_UN_0,0.58,0.58,0.23,3bcOC7j,0
0.81,0.89,-1,14,UN_PX_0,0.7,0.69,0.59,3bcOC7j,0
0.74,0.74,0.83,15,NX_UN_0,0.59,0.53,0.43,3bcOC7j,0
-1,-1,-1,16,ND_DX_0,0.67,0.77,0.76,3bcOC7j,0
0.8,0.8,-1,17,DX_UN_0,0.75,0.57,0.6,3bcOC7j,0
0.83,0.87,0.92,18,NX_NX_0,0.76,0.71,0.37,3bcOC7j,0
0.89,0.77,-1,19,UN_NX_0,0.83,0.87,0.93,3bcOC7j,0
0.75,0.78,0.95,20,PX_PX_0,0.7,0.62,0.4,3bcOC7j,0
0.8,0.86,-1,21,DX_NX_0,0.76,0.58,0.3,3bcOC7j,0
-1,-1,-1,22,ND_NX_1,0.83,0.79,0.73,3bcOC7j,0
0.89,0.82,-1,23,DX_PX_0,0.6,0.73,0.76,3bcOC7j,0
0.73,0.86,0.82,1,NX_PX_0,0.57,0.42,0.33,moLWXPA,0
0.83,0.74,0.85,2,PX_DX_0,0.71,0.77,0.53,moLWXPA,0
-1,-1,-1,3,ND_PX_1,0.59,0.74,0.63,moLWXPA,0
-1,-1,-1,4,ND_DX_1,0.69,0.62,0.47,moLWXPA,0
0.87,0.75,0.76,5,NX_DX_0,0.55,0.41,0.36,moLWXPA,0
0.82,0.82,-1,6,DX_PX_0,0.49,0.45,0.64,moLWXPA,0
0.77,0.9,-1,7,DX_UN_0,0.66,0.46,0.19,moLWXPA,0
-1,-1,-1,8,ND_NX_1,0.69,0.58,0.82,moLWXPA,0
0.87,0.81,-1,9,UN_DX_0,0.6,0.52,0.31,moLWXPA,0
0.46,0.71,-1,10,UN_NX_0,0.7,0.68,0.33,moLWXPA,0
0.74,0.69,0.82,11,PX_NX_0,0.68,0.57,0.21,moLWXPA,0
0.92,0.84,0.79,12,NX_NX_0,0.67,0.78,0.71,moLWXPA,0
0.79,0.77,0.9,13,NX_UN_0,0.57,0.68,0.66,moLWXPA,0
-1,-1,-1,14,ND_UN_0,0.44,0.32,0.2,moLWXPA,0
0.84,0.62,0.66,15,PX_PX_0,0.62,0.38,0.22,moLWXPA,0
0.77,0.66,-1,16,DX_NX_0,0.72,0.43,0.44,moLWXPA,0
0.8,0.76,0.93,17,PX_UN_0,0.51,0.73,0.65,moLWXPA,0
-1,-1,-1,18,ND_PX_0,0.79,0.92,0.89,moLWXPA,0
-1,-1,-1,19,ND_DX_0,0.72,0.9,0.79,moLWXPA,0
-1,-1,-1,20,ND_NX_0,0.69,0.79,0.54,moLWXPA,0
0.86,0.7,-1,21,UN_PX_0,0.82,0.68,0.76,moLWXPA,0
0.92,0.88,-1,22,UN_UN_0,0.65,0.75,0.56,moLWXPA,0
0.84,0.65,-1,23,DX_DX_0,0.68,0.6,0.79,moLWXPA,0
0.31,0.85,-1,1,DX_PX_0,0.5,0.52,0,CkCU8RX,1
0.97,0,0,2,PX_UN_0,0.5,0.5,0.51,CkCU8RX,1
-1,-1,-1,3,ND_PX_1,0.66,0.9,0,CkCU8RX,1
0.5,0.51,0,4,NX_UN_0,0.49,0.49,0.5,CkCU8RX,1
0.49,0.5,-1,5,UN_UN_0,0.5,0.5,0.51,CkCU8RX,1
0.15,0.88,0,6,PX_PX_0,0.51,0,0.54,CkCU8RX,1
0.5,0.51,-1,7,UN_DX_0,0,0,1,CkCU8RX,1
-1,-1,-1,8,ND_NX_1,0.47,0.48,0.48,CkCU8RX,1
0.1,0.46,0.47,9,NX_NX_0,0.48,0.48,0.5,CkCU8RX,1
-1,-1,-1,10,ND_DX_0,0.99,0,0,CkCU8RX,1
0.5,0.5,0,11,PX_NX_0,0.49,0.46,0.2,CkCU8RX,1
-1,-1,-1,12,ND_UN_0,0.49,0.5,0.51,CkCU8RX,1
0.47,0,0.47,13,PX_DX_0,0,0,1,CkCU8RX,1
1,0,-1,14,DX_UN_0,0.49,0.5,0.5,CkCU8RX,1
0.93,0,-1,15,DX_NX_0,0.47,0,0.48,CkCU8RX,1
-1,-1,-1,16,ND_PX_0,1,0,0,CkCU8RX,1
1,0.07,-1,17,DX_DX_0,0,0.1,0.88,CkCU8RX,1
0.47,0.59,0.07,18,NX_PX_0,0.45,0.04,0.86,CkCU8RX,1
0.5,0.51,0,19,NX_DX_0,0,0,1,CkCU8RX,1
0.46,0.45,-1,20,UN_PX_0,0.5,0,0.51,CkCU8RX,1
-1,-1,-1,21,ND_NX_0,0.48,0,0.49,CkCU8RX,1
0.49,0.49,-1,22,UN_NX_0,0,0.5,0.5,CkCU8RX,1
-1,-1,-1,23,ND_DX_1,1,0,0.03,CkCU8RX,1
0.77,0.77,0,1,NX_DX_0,0,0,1,S9Y8JeP,1
1,0,-1,2,DX_UN_0,0.55,0.55,0.56,S9Y8JeP,1
0.85,0.85,0,3,NX_UN_0,0.58,0.58,0.59,S9Y8JeP,1
0.73,0.71,-1,4,UN_PX_0,0.6,0.01,0.58,S9Y8JeP,1
0.85,0.85,-1,5,UN_DX_0,0,0,1,S9Y8JeP,1
0.77,0.79,0,6,NX_PX_0,0.58,0,0.81,S9Y8JeP,1
-1,-1,-1,7,ND_UN_0,0.71,0.73,0.71,S9Y8JeP,1
