1,2,3,trial_num,map,A,B,C,unique_id
0.01,0.02,0.98,1,PX_DX_0,0.02,0.05,0.97,NEKTwn3
0.02,0.99,-1,2,DX_UN_0,0.05,0.02,0.94,NEKTwn3
-1,-1,-1,3,ND_DX_1,0.43,0.92,0.07,NEKTwn3
0.54,0.5,-1,4,UN_NX_0,0.32,0.73,0.75,NEKTwn3
0.44,0.83,-1,5,UN_DX_0,0.24,0.65,0.72,NEKTwn3
0.82,0.19,0.22,6,PX_NX_0,0.82,0.78,0.13,NEKTwn3
-1,-1,-1,7,ND_NX_1,0.31,0.84,0.09,NEKTwn3
0.86,0.09,0.11,8,PX_UN_0,0.06,0.84,0.18,NEKTwn3
0.08,0.69,0.72,9,NX_NX_0,0.7,0.13,0.73,NEKTwn3
-1,-1,-1,10,ND_UN_0,0.74,0.64,0.17,NEKTwn3
0.77,0.79,0.21,11,NX_UN_0,0.84,0.78,0.15,NEKTwn3
0.84,0.13,0.83,12,NX_DX_0,0.24,0.12,0.89,NEKTwn3
-1,-1,-1,13,ND_PX_0,0.92,0.77,0.12,NEKTwn3
-1,-1,-1,14,ND_PX_1,0.81,0.78,0.1,NEKTwn3
-1,-1,-1,15,ND_NX_0,0.47,0.47,0.46,NEKTwn3
0.4,0.53,-1,16,UN_PX_0,0.81,0.42,0.73,NEKTwn3
0.5,0.44,-1,17,UN_UN_0,0.58,0.5,0.48,NEKTwn3
0.22,0.17,0.83,18,PX_PX_0,0.76,0.49,0.81,NEKTwn3
0.67,0.25,0.8,19,NX_PX_0,0.67,0.08,0.71,NEKTwn3
-1,-1,-1,20,ND_DX_0,0.49,0.49,0.49,NEKTwn3
0.71,0.23,-1,21,DX_NX_0,0.75,0.24,0.74,NEKTwn3
0.52,0.47,-1,22,DX_DX_0,0.83,0.25,0.74,NEKTwn3
0.8,0.08,-1,23,DX_PX_0,0.86,0.76,0.15,NEKTwn3
-1,-1,-1,1,ND_PX_0,1,0,0,YYIVAeD
-1,-1,-1,2,ND_PX_1,0.46,0.55,0,YYIVAeD
0,1,0,3,PX_PX_0,0,0,1,YYIVAeD
0,0.5,0.4,4,NX_DX_0,0,0,1,YYIVAeD
-1,-1,-1,5,ND_NX_1,0.57,0,0.46,YYIVAeD
0,0.37,0.59,6,NX_NX_0,0.48,0,0.49,YYIVAeD
1,0,-1,7,DX_DX_0,0,0,1,YYIVAeD
0,1,-1,8,DX_UN_0,0.28,0.28,0.28,YYIVAeD
0,1,-1,9,DX_PX_0,0,1,0,YYIVAeD
-1,-1,-1,10,ND_DX_0,1,0,0,YYIVAeD
0.36,0.49,0,11,NX_UN_0,0.37,0.18,0.54,YYIVAeD
0.46,0.45,0,12,NX_PX_0,0.49,0,0.63,YYIVAeD
-1,-1,-1,13,ND_DX_1,1,0.15,0,YYIVAeD
0.46,0.45,0.01,14,PX_NX_0,0.49,0.49,0,YYIVAeD
0.46,0.47,-1,15,UN_PX_0,0.49,0,0.52,YYIVAeD
