1,2,3,trial_num,map,A,B,C,unique_id,wrong_attempts
-1,-1,-1,1,ND_NX_0,0.47,0,0.48,aHVLFw9,3
0.79,0.07,-1,2,DX_NX_0,0.31,0,0.57,aHVLFw9,3
0.86,0.12,-1,3,DX_PX_0,0.12,0.85,0,aHVLFw9,3
0.76,0.43,0.22,4,PX_NX_0,0.35,0.55,0.06,aHVLFw9,3
0.1,0.05,0.84,5,PX_DX_0,0.07,0.02,0.85,aHVLFw9,3
0.38,0.76,-1,6,DX_DX_0,0.36,0.08,0.85,aHVLFw9,3
0.56,0.56,-1,7,UN_UN_0,0.47,0.48,0.47,aHVLFw9,3
0.47,0.5,-1,8,UN_NX_0,0.05,0.58,0.64,aHVLFw9,3
0.74,0.55,0.17,9,NX_UN_0,0.17,0.86,0.05,aHVLFw9,3
0.56,0.1,0.79,10,NX_PX_0,0.6,0.23,0.58,aHVLFw9,3
-1,-1,-1,11,ND_NX_1,0.18,0.93,0.05,aHVLFw9,3
-1,-1,-1,12,ND_UN_0,0.06,0.05,0.85,aHVLFw9,3
0.67,0.5,-1,13,UN_DX_0,0.05,0.05,0.82,aHVLFw9,3
0.21,0.62,0.2,14,NX_NX_0,0.5,0.06,0.54,aHVLFw9,3
-1,-1,-1,15,ND_DX_1,0.42,0.87,0.06,aHVLFw9,3
0.42,0.42,-1,16,UN_PX_0,0.53,0.06,0.53,aHVLFw9,3
-1,-1,-1,17,ND_PX_0,0.45,0.46,0.07,aHVLFw9,3
0.14,0.65,0.17,18,PX_PX_0,0.46,0.06,0.54,aHVLFw9,3
0.88,0.13,0.09,19,PX_UN_0,0.05,0.89,0.05,aHVLFw9,3
-1,-1,-1,20,ND_DX_0,0.84,0.37,0.15,aHVLFw9,3
0.79,0.17,0.12,21,NX_DX_0,0.07,0.1,0.83,aHVLFw9,3
0.86,0.16,-1,22,DX_UN_0,0.54,0.5,0.5,aHVLFw9,3
-1,-1,-1,23,ND_PX_1,0.72,0.46,0.05,aHVLFw9,3
0.3,0.4,0.49,1,NX_DX_0,0.52,0.55,0.57,BCofL9l,7
-1,-1,-1,2,ND_DX_0,0,0.96,0.07,BCofL9l,7
0.42,0.38,-1,3,UN_PX_0,0.93,0.05,0.81,BCofL9l,7
0.04,0.75,0,4,NX_NX_0,1,0,0.93,BCofL9l,7
0,1,0,5,PX_PX_0,1,0.22,1,BCofL9l,7
0.97,0.09,-1,6,DX_DX_0,0.05,0.08,0.91,BCofL9l,7
0.03,0.97,-1,7,DX_PX_0,0.05,1,0.08,BCofL9l,7
-1,-1,-1,8,ND_PX_1,1,0.04,0.05,BCofL9l,7
-1,-1,-1,9,ND_PX_0,0.93,0.02,0.03,BCofL9l,7
0.46,0.47,-1,10,UN_UN_0,0.48,0.47,0.44,BCofL9l,7
0.51,0.52,-1,11,UN_DX_0,0.18,0.19,0.92,BCofL9l,7
-1,-1,-1,12,ND_NX_0,0.49,0.03,0.48,BCofL9l,7
0.95,0.92,0.08,13,PX_UN_0,0.56,0.78,0.55,BCofL9l,7
-1,-1,-1,14,ND_NX_1,0.84,0,0.8,BCofL9l,7
0.43,0.46,0.44,15,PX_NX_0,0.71,0.69,0.05,BCofL9l,7
0.51,0.47,0.49,16,PX_DX_0,0.56,0.55,0.52,BCofL9l,7
0.46,0.04,-1,17,DX_UN_0,0.56,0.55,0.52,BCofL9l,7
1,1,-1,18,UN_NX_0,0.11,0.64,0.57,BCofL9l,7
0.71,0,-1,19,DX_NX_0,0.76,0.14,0.76,BCofL9l,7
-1,-1,-1,20,ND_UN_0,0.43,0.44,0.42,BCofL9l,7
0.36,0.39,0.46,21,NX_PX_0,0.62,0.49,0.45,BCofL9l,7
0.45,0.69,0,22,NX_UN_0,0.69,0.7,0.68,BCofL9l,7
-1,-1,-1,23,ND_DX_1,0.86,0.07,0.75,BCofL9l,7
-1,-1,-1,1,ND_DX_1,0.09,0.68,0.04,gFP87SH,2
0.76,0.7,0.24,2,NX_DX_0,0.18,0.64,0.84,gFP87SH,2
0.54,0.78,0.26,3,PX_PX_0,0.21,0.12,0.8,gFP87SH,2
0.76,0.25,-1,4,DX_NX_0,0.54,0.02,0.77,gFP87SH,2
-1,-1,-1,5,ND_PX_1,0.79,0.94,0,gFP87SH,2
0.79,0.13,-1,6,DX_DX_0,0,0,1,gFP87SH,2
0.82,0.74,0,7,NX_PX_0,0.56,0,0.85,gFP87SH,2
-1,-1,-1,8,ND_NX_1,0.95,0,0.65,gFP87SH,2
0.74,0.89,0,9,PX_UN_0,0.82,0.55,0.75,gFP87SH,2
-1,-1,-1,10,ND_UN_0,0.53,0.51,0.52,gFP87SH,2
0.66,0.66,-1,11,UN_DX_0,0,0,1,gFP87SH,2
0.71,0,0.71,12,PX_DX_0,0,0,1,gFP87SH,2
0,0.65,0.64,13,NX_NX_0,0.68,0,0.64,gFP87SH,2
-1,-1,-1,14,ND_DX_0,1,0,0,gFP87SH,2
0.42,0.79,-1,15,DX_PX_0,0.17,0.77,0,gFP87SH,2
1,0,-1,16,DX_UN_0,0.51,0.5,0.5,gFP87SH,2
-1,-1,-1,17,ND_NX_0,0.64,0,0.62,gFP87SH,2
0.5,0.49,-1,18,UN_NX_0,0,0.61,0.61,gFP87SH,2
0.59,0.59,0,19,NX_UN_0,0.53,0.53,0.53,gFP87SH,2
-1,-1,-1,20,ND_PX_0,0.72,0,0.58,gFP87SH,2
0.57,0.59,0,21,PX_NX_0,0.62,0.6,0,gFP87SH,2
0.52,0.53,-1,22,UN_PX_0,0.5,0,0.5,gFP87SH,2
0.54,0.53,-1,23,UN_UN_0,0.47,0.48,0.48,gFP87SH,2
0.49,0.48,-1,1,UN_DX_0,0,0,1,eiYhXl8,0
0.49,0.49,-1,2,UN_NX_0,0,0.49,0.49,eiYhXl8,0
0.5,0.5,0,3,PX_NX_0,0.51,0.51,0,eiYhXl8,0
1,0,-1,4,DX_UN_0,0.5,0.5,0.5,eiYhXl8,0
-1,-1,-1,5,ND_NX_0,0.5,0,0.5,eiYhXl8,0
-1,-1,-1,6,ND_PX_0,0.66,0,0.34,eiYhXl8,0
-1,-1,-1,7,ND_PX_1,0.32,0.62,0,eiYhXl8,0
1,0,-1,8,DX_NX_0,0.5,0,0.51,eiYhXl8,0
0.49,0,0.49,9,PX_DX_0,0,0,1,eiYhXl8,0
0.5,0.5,0.5,10,PX_PX_0,0.22,0.23,0.71,eiYhXl8,0
0.5,0.5,0.51,11,NX_PX_0,0.5,0.5,0.5,eiYhXl8,0
0,1,-1,12,DX_PX_0,0.49,0.49,0,eiYhXl8,0
-1,-1,-1,13,ND_DX_0,1,0,0,eiYhXl8,0
-1,-1,-1,14,ND_DX_1,1,0,0,eiYhXl8,0
0.5,0.5,-1,15,UN_UN_0,0.49,0.49,0.48,eiYhXl8,0
0.49,0.49,0,16,PX_UN_0,0.61,0.2,0.63,eiYhXl8,0
0,0.51,0.51,17,NX_NX_0,0.49,0,0.5,eiYhXl8,0
1,0,-1,18,DX_DX_0,0,0,1,eiYhXl8,0
-1,-1,-1,19,ND_NX_1,0.49,0,0.49,eiYhXl8,0
-1,-1,-1,20,ND_UN_0,0.48,0.48,0.48,eiYhXl8,0
0.48,0.48,-1,21,UN_PX_0,0.49,0,0.49,eiYhXl8,0
0.49,0.49,0,22,NX_UN_0,0.5,0.5,0.5,eiYhXl8,0
0.5,0.5,0,23,NX_DX_0,0,0,1,eiYhXl8,0
0.71,0.71,0.23,1,NX_DX_0,0.13,0.14,0.77,LR98prd,1
0.09,0.18,0.81,2,PX_PX_0,0.44,0.04,0.83,LR98prd,1
0.88,0.45,0,3,PX_NX_0,0.76,0.79,0.15,LR98prd,1
0.49,0.49,-1,4,UN_NX_0,0,0.5,0.51,LR98prd,1
0,0.75,0.44,5,NX_NX_0,0.81,0,0.55,LR98prd,1
0,0,1,6,PX_DX_0,0.49,0,1,LR98prd,1
0.25,0.66,0,7,NX_PX_0,0.52,0,0.53,LR98prd,1
1,0.74,0,8,PX_UN_0,0.36,0.91,0,LR98prd,1
0.5,0.8,-1,9,DX_DX_0,0.13,0.14,0.82,LR98prd,1
-1,-1,-1,10,ND_NX_0,0.81,0.01,0.79,LR98prd,1
0.92,0.55,0,11,NX_UN_0,0.48,0.84,0,LR98prd,1
-1,-1,-1,12,ND_PX_0,1,0,0.83,LR98prd,1
1,0,-1,13,DX_UN_0,0.47,0.48,0.48,LR98prd,1
-1,-1,-1,14,ND_DX_1,0.64,0.08,0,LR98prd,1
0,1,-1,15,DX_PX_0,1,1,0,LR98prd,1
-1,-1,-1,16,ND_PX_1,1,0.49,0,LR98prd,1
-1,-1,-1,17,ND_DX_0,1,0,0.46,LR98prd,1
0.5,0.5,-1,18,UN_PX_0,0.66,0,0.69,LR98prd,1
-1,-1,-1,19,ND_UN_0,0.47,0.48,0.47,LR98prd,1
0.17,0.85,-1,20,UN_DX_0,0,0,1,LR98prd,1
-1,-1,-1,21,ND_NX_1,0.81,0,0.33,LR98prd,1
0.48,0.48,-1,22,UN_UN_0,0.46,0.46,0.46,LR98prd,1
1,0,-1,23,DX_NX_0,0.48,0,0.97,LR98prd,1
0.48,0.47,-1,1,UN_UN_0,0.5,0.5,0.5,fIZi4ta,0
0.48,0.47,0,2,NX_UN_0,0.51,0.51,0.51,fIZi4ta,0
0.49,0.48,-1,3,UN_DX_0,0,0,1,fIZi4ta,0
0.48,0.48,0,4,PX_NX_0,0.5,0.5,0,fIZi4ta,0
-1,-1,-1,5,ND_DX_0,1,0,0,fIZi4ta,0
0,0.47,0.47,6,NX_NX_0,0.49,0,0.49,fIZi4ta,0
0,1,-1,7,DX_PX_0,0.47,0.47,0,fIZi4ta,0
0.49,0.49,-1,8,DX_DX_0,0,0,1,fIZi4ta,0
1,0,-1,9,DX_NX_0,0.49,0,0.49,fIZi4ta,0
-1,-1,-1,10,ND_PX_1,0.28,0.76,0,fIZi4ta,0
0.49,0.49,-1,11,UN_PX_0,0.51,0,0.52,fIZi4ta,0
-1,-1,-1,12,ND_UN_0,0.49,0.49,0.49,fIZi4ta,0
0.49,0.48,0,13,NX_PX_0,0.48,0,0.49,fIZi4ta,0
0.48,0.48,0,14,NX_DX_0,0,0,1,fIZi4ta,0
0.48,0.47,0.23,15,PX_PX_0,0.49,0,0.51,fIZi4ta,0
0.23,0,0.74,16,PX_DX_0,0,0,1,fIZi4ta,0
-1,-1,-1,17,ND_DX_1,1,0,0,fIZi4ta,0
-1,-1,-1,18,ND_NX_1,0.65,0.16,0.39,fIZi4ta,0
1,0,-1,19,DX_UN_0,0.47,0.47,0.48,fIZi4ta,0
-1,-1,-1,20,ND_NX_0,0.5,0,0.5,fIZi4ta,0
0.51,0.5,-1,21,UN_NX_0,0,0.48,0.47,fIZi4ta,0
0.48,0.46,0,22,PX_UN_0,0.48,0.48,0.48,fIZi4ta,0
-1,-1,-1,23,ND_PX_0,0.69,0,0.33,fIZi4ta,0
0.51,0.5,0,1,NX_UN_0,0.46,0.49,0.49,h5dVTE2,1
-1,-1,-1,2,ND_DX_1,1,0,0,h5dVTE2,1
0.49,0.52,0.51,3,PX_UN_0,0.53,0.52,0.53,h5dVTE2,1
-1,-1,-1,4,ND_PX_0,0.49,0,0.49,h5dVTE2,1
0.48,0.48,0,5,PX_PX_0,0.5,0.5,0.5,h5dVTE2,1
0.45,0.45,0.47,6,PX_DX_0,0.49,0.48,0.48,h5dVTE2,1
1,0,-1,7,DX_DX_0,0.02,0,1,h5dVTE2,1
0.49,0.5,-1,8,UN_PX_0,0.48,0,0.48,h5dVTE2,1
-1,-1,-1,9,ND_NX_0,0.46,0,0.45,h5dVTE2,1
-1,-1,-1,10,ND_PX_1,0.51,0.51,0,h5dVTE2,1
0.49,0.49,-1,11,DX_NX_0,0.47,0,0.49,h5dVTE2,1
0.6,0.31,-1,12,DX_PX_0,0.56,0.29,0,h5dVTE2,1
-1,-1,-1,13,ND_DX_0,1,0,0,h5dVTE2,1
0.48,0.5,0,14,NX_PX_0,0.48,0,0.5,h5dVTE2,1
-1,-1,-1,15,ND_UN_0,0.47,0.47,0.48,h5dVTE2,1
1,0,-1,16,DX_UN_0,0.46,0.47,0.47,h5dVTE2,1
0.5,0.51,-1,17,UN_DX_0,0,0,1,h5dVTE2,1
0.49,0.49,-1,18,UN_UN_0,0.49,0.49,0.5,h5dVTE2,1
-1,-1,-1,19,ND_NX_1,0.48,0.48,0.48,h5dVTE2,1
0,0.47,0.47,20,NX_NX_0,0.46,0,0.47,h5dVTE2,1
0.48,0.49,0,21,PX_NX_0,0.49,0.51,0,h5dVTE2,1
0.72,0.29,0,22,NX_DX_0,0,0,1,h5dVTE2,1
0.48,0.48,-1,23,UN_NX_0,0,0.5,0.5,h5dVTE2,1
0.32,0.88,-1,1,UN_DX_0,0.17,0.21,0.86,CfG9jbo,0
0.84,0.28,-1,2,DX_NX_0,0.85,0,0.37,CfG9jbo,0
0.47,0.47,-1,3,UN_PX_0,0.52,0.01,0.52,CfG9jbo,0
0.45,0.44,-1,4,DX_PX_0,0.67,0.82,0,CfG9jbo,0
0.96,0,-1,5,DX_UN_0,0.47,0.49,0.49,CfG9jbo,0
0,0.45,0.47,6,NX_NX_0,0.5,0.49,0.51,CfG9jbo,0
0.36,0.37,0.91,7,PX_DX_0,0.46,0.18,0.67,CfG9jbo,0
