1,2,3,trial_num,map,A,B,C,wrong_objective,unique_id,wrong_attempts
-1,-1,-1,1,ND_NX_1,0.92,0.57,0.01,0,JJ3lrgo,1
0.51,0.51,-1,2,UN_PX_0,0.51,0.04,0.52,0,JJ3lrgo,1
-1,-1,-1,3,ND_PX_1,0.12,0.96,0.03,0,JJ3lrgo,1
0.95,0.01,0,4,PX_NX_0,0.49,0.49,0.04,0,JJ3lrgo,1
0.5,0.49,0.04,5,NX_DX_0,0,0.01,0.97,0,JJ3lrgo,1
0.52,0.51,-1,6,UN_UN_0,0.5,0.5,0.49,0,JJ3lrgo,1
0.97,0,0,7,PX_UN_0,0.52,0.53,0.53,0,JJ3lrgo,1
-1,-1,-1,8,ND_DX_1,0.97,0.01,0,0,JJ3lrgo,1
-1,-1,-1,9,ND_PX_0,0.49,0.02,0.5,0,JJ3lrgo,1
-1,-1,-1,10,ND_NX_0,0.51,0.02,0.52,0,JJ3lrgo,1
0.03,0.99,0.02,11,PX_PX_0,0.48,0.02,0.49,0,JJ3lrgo,1
0,0.98,-1,12,DX_PX_0,0.25,0.98,0.01,0,JJ3lrgo,1
-1,-1,-1,13,ND_UN_0,0.48,0.48,0.48,0,JJ3lrgo,1
-1,-1,-1,14,ND_DX_0,0.74,0.02,0.18,0,JJ3lrgo,1
0.98,0,-1,15,DX_UN_0,0.5,0.51,0.51,0,JJ3lrgo,1
0.97,0,-1,16,DX_NX_0,0.52,0,0.53,0,JJ3lrgo,1
0.06,0.86,0.04,17,NX_NX_0,0.13,0.13,0.71,0,JJ3lrgo,1
0.52,0.52,-1,18,UN_DX_0,0,0,0.98,0,JJ3lrgo,1
0.48,0.48,-1,19,UN_NX_0,0,0.53,0.53,0,JJ3lrgo,1
0.99,0.04,-1,20,DX_DX_0,0.03,0.03,0.99,0,JJ3lrgo,1
0.51,0.5,0.02,21,NX_PX_0,0.5,0,0.51,0,JJ3lrgo,1
0.53,0.02,0.53,22,PX_DX_0,0,0.01,0.98,0,JJ3lrgo,1
0.53,0.53,0,23,NX_UN_0,0.5,0.5,0.51,0,JJ3lrgo,1
0.42,0.59,0.11,1,PX_PX_0,0.54,0.23,0.65,0,hxnfcOD,0
0.73,0.2,-1,2,DX_NX_0,0.5,0.17,0.53,1,hxnfcOD,0
0.76,0.49,0.14,3,PX_UN_0,0.66,0.67,0.66,0,hxnfcOD,0
0.75,0.74,0.11,4,NX_PX_0,0.56,0.32,0.68,0,hxnfcOD,0
