participant,map,bayes_factor
0,DX_NX_0,81269.69989342397
0,ND_UN_0,758.831773403981
0,PX_UN_0,62044.10409305973
0,ND_NX_0,2255.1854169692165
0,UN_UN_0,10260.845530161056
0,NX_UN_0,2553.804243656502
0,UN_NX_0,106403.53871958882
0,PX_NX_0,9639.38353759959
0,NX_PX_0,131.24208069087095
0,PX_DX_0,67.90049863851286
0,ND_PX_1,54691.96885263997
0,DX_PX_0,5504.703545840918
0,ND_DX_1,99.1890929386879
0,UN_PX_0,3949.8344491523017
0,NX_DX_0,593.3479305261512
0,UN_DX_0,8206.64564043811
0,PX_PX_0,227.11494364893116
0,ND_PX_0,279.317435370306
0,NX_NX_0,953.0203106874689
0,DX_UN_0,9853.777766423409
0,ND_DX_0,289.23021082251637
0,ND_NX_1,20.606438755952585
0,DX_DX_0,135.80158997663779
1,UN_UN_0,5208.531678441902
1,ND_DX_0,278.73496840884536
1,DX_PX_0,16951.367864109838
1,ND_PX_1,7742.432735735808
1,ND_UN_0,710.3088234638411
1,UN_PX_0,3841.898428980558
1,PX_DX_0,79.10994623004237
1,ND_PX_0,283.95387943319145
1,NX_PX_0,4.37778588617166e-137
1,DX_DX_0,310.11751397946085
1,PX_PX_0,678.66149344054
1,PX_UN_0,72047.4104218403
1,PX_NX_0,177606.32280958304
1,NX_NX_0,911.7140023375952
1,ND_DX_1,522.2104310803775
1,ND_NX_0,4564.085405440622
1,NX_DX_0,5380.6519927095105
1,UN_NX_0,6235.099796240246
1,NX_UN_0,147.466276392048
1,ND_NX_1,65.42048893108185
1,UN_DX_0,2019.4060291759067
1,DX_NX_0,2747.2928340270337
1,DX_UN_0,9762.750324645032
10,ND_PX_0,279.04136560755177
10,UN_NX_0,90484.29680124113
10,DX_NX_0,2922.6110826697804
10,UN_DX_0,7889.897984812292
10,DX_PX_0,17793.35202251647
10,PX_PX_0,686.8773822360741
10,DX_UN_0,10625.821148197305
10,UN_UN_0,11260.383879985066
10,PX_NX_0,1030.8120984882319
10,ND_UN_0,694.8801794829316
10,DX_DX_0,1190.029231509095
10,NX_DX_0,5043.576280406627
10,PX_UN_0,77976.12371708825
10,ND_DX_1,2122.7435368979022
10,ND_NX_0,4476.566558152554
10,NX_PX_0,13761.958756157017
10,NX_NX_0,442.75264522321487
10,PX_DX_0,76.38978686198745
10,ND_DX_0,21487.47525619934
10,NX_UN_0,96468.06208367292
10,UN_PX_0,14336.077614656284
10,ND_NX_1,4275.8749321566675
10,ND_PX_1,41468.32001315172
11,ND_NX_1,62.52189866156336
11,ND_PX_0,274.3179050535877
11,ND_PX_1,63880.430131625944
11,NX_UN_0,2723.660030587868
11,ND_NX_0,4173.046977367675
11,PX_PX_0,20199.36900401047
11,ND_UN_0,677.5586118542966
11,NX_NX_0,1016.3411148930393
11,DX_NX_0,75197.21097044175
11,PX_DX_0,85.43117542486199
11,ND_DX_1,562.757752189045
11,NX_PX_0,3891.0090522243154
11,DX_UN_0,9747.940997565815
11,UN_NX_0,99308.28348665437
11,NX_DX_0,5191.996398403517
11,DX_DX_0,588.5729596801839
11,PX_UN_0,73938.45735204587
11,PX_NX_0,9781.019432201156
11,DX_PX_0,5495.749487121427
11,UN_UN_0,10643.605569176932
11,UN_DX_0,7860.438024894065
11,UN_PX_0,29858.918436801734
11,ND_DX_0,297.8503108263829
12,ND_PX_0,303.56573143316064
12,ND_NX_1,20.082966042676183
12,NX_UN_0,142.2362656164859
12,PX_UN_0,74046.12932443348
12,ND_PX_1,58414.67598457871
12,UN_PX_0,31755.607573357203
12,PX_DX_0,83.13322112679245
12,UN_NX_0,6623.5948354396105
12,PX_NX_0,8874.626357689698
12,DX_PX_0,19265.926636172706
12,NX_NX_0,5337.708019467714
12,UN_DX_0,7947.636118601914
12,DX_DX_0,139.05447891502374
12,ND_DX_1,523.6720037720664
12,PX_PX_0,350.7731254585218
12,DX_UN_0,10806.927545543751
12,NX_PX_0,137.15140627820134
12,ND_NX_0,4668.685564703636
12,UN_UN_0,10837.730299189536
12,ND_DX_0,161.45929588330517
12,DX_NX_0,74155.07841926852
12,NX_DX_0,53140.54710433341
12,ND_UN_0,1465.7111734355965
13,NX_PX_0,148.84323199316302
13,ND_NX_1,21.0607315690385
13,PX_NX_0,10061.314944673511
13,PX_PX_0,712.2750486398568
13,ND_UN_0,732.1110646339201
13,ND_PX_1,7721.71884281816
13,DX_PX_0,17978.86396064198
13,ND_PX_0,1625.7034904601878
13,NX_UN_0,2555.5209301036284
13,NX_NX_0,227.91929519514866
13,PX_DX_0,77.59024130281675
