participant,map,bayes_factor
9,DX_PX_0,4945.028180382886
9,ND_NX_0,4393.767347245792
9,ND_PX_0,240.35215959728947
9,NX_PX_0,4434.367947107947
9,NX_DX_0,5292.000510101903
9,ND_DX_1,580.1362569685806
9,UN_PX_0,8114.784046537506
9,PX_DX_0,77.58199226688222
9,NX_NX_0,1008.991199073054
9,UN_DX_0,7673.907859486933
9,ND_NX_1,68.49055376042698
9,DX_NX_0,67489.19686024798
9,PX_NX_0,141408.86167116382
9,DX_UN_0,6185.390566035369
9,NX_UN_0,97207.45803691063
9,ND_DX_0,2239.7473206766285
9,ND_UN_0,22777.170330417146
9,PX_UN_0,62064.06799874361
9,UN_UN_0,5365.813895838967
9,UN_NX_0,96310.67446233713
9,DX_DX_0,294.89245786285574
9,ND_PX_1,60879.72340578986
9,PX_PX_0,23553.543576978347
