participant,map,bayes_factor
0,ND_PX_0,295.0317670738128
0,PX_DX_0,1312.2140695864791
0,UN_NX_0,6192.049226104393
0,PX_NX_0,8885.357562436178
0,UN_DX_0,8416.253293820564
0,NX_UN_0,141.28039617260416
0,DX_NX_0,747.6023693909013
0,NX_NX_0,2921.5776944844633
0,NX_PX_0,135.15011599241802
0,UN_UN_0,10517.875885190704
0,DX_DX_0,318.3549812356917
0,PX_UN_0,72311.07132890738
0,ND_PX_1,8051.50877876334
0,ND_NX_0,1069.8188844362116
0,UN_PX_0,7193.393651593324
0,ND_UN_0,742.2517904461002
0,ND_DX_0,277.7007106648893
0,ND_DX_1,529.1937122404186
0,NX_DX_0,5324.969188563511
0,DX_UN_0,10258.67167978669
0,ND_NX_1,21.08824481973299
0,DX_PX_0,5471.860887219838
0,PX_PX_0,457.83220574823184
1,ND_PX_0,254.1095269211941
1,PX_DX_0,1202.6162124230955
1,UN_NX_0,5890.781350066751
1,PX_NX_0,9669.240990514203
1,UN_DX_0,8354.663498127096
1,NX_UN_0,150.7180253196754
1,DX_NX_0,733.8773038835637
1,NX_NX_0,2859.000367670855
1,NX_PX_0,130.74737577784782
1,UN_UN_0,10601.033170646893
1,DX_DX_0,321.7252186412904
1,PX_UN_0,70716.18842374269
1,ND_PX_1,8647.728217464753
1,ND_NX_0,1141.8685262842814
1,UN_PX_0,7323.255188570094
1,ND_UN_0,673.9127619597357
1,ND_DX_0,272.1914091996806
1,ND_DX_1,553.2792792887141
1,NX_DX_0,5464.757637297854
1,DX_UN_0,9296.708129360453
1,ND_NX_1,20.439474227714065
1,DX_PX_0,5638.252149171569
1,PX_PX_0,432.8879926603564
2,NX_DX_0,5198.855377044282
2,PX_NX_0,10204.862549527377
2,ND_UN_0,1530.478640360901
2,ND_PX_1,8468.116846600862
2,DX_PX_0,19223.579771654964
2,UN_DX_0,7933.174522042259
2,PX_PX_0,745.58856098332
2,DX_DX_0,166.96271392543412
2,UN_NX_0,5924.019954315619
2,NX_PX_0,920.8555658302583
2,ND_DX_1,492.26651900932677
2,ND_NX_1,1153.1857458993181
2,ND_DX_0,304.2368106005594
2,PX_UN_0,14340.417101208379
2,NX_UN_0,140.29732731218792
2,ND_PX_0,1023.1348134543526
2,PX_DX_0,82.95702772400263
2,UN_UN_0,3004.290954764526
2,DX_UN_0,9263.180199928558
2,UN_PX_0,1806.471255861296
2,ND_NX_0,2054.6490508790303
2,NX_NX_0,897.2836487465161
2,DX_NX_0,19309.24043147341
3,NX_DX_0,4888.160320931974
3,PX_NX_0,9186.119948277312
3,ND_UN_0,1485.3679179077417
3,ND_PX_1,7792.645137421433
3,DX_PX_0,18987.442889003927
3,UN_DX_0,8857.167415255275
3,PX_PX_0,670.0039700346966
3,DX_DX_0,154.61403680542426
3,UN_NX_0,5972.756885708506
3,NX_PX_0,981.7198658027959
3,ND_DX_1,523.2053384371478
3,ND_NX_1,1117.057882193923
3,ND_DX_0,281.6218819238623
3,PX_UN_0,15848.767165812413
3,NX_UN_0,141.62607298167043
3,ND_PX_0,1150.0849240241334
3,PX_DX_0,81.92833794007507
3,UN_UN_0,2596.878222047578
3,DX_UN_0,9710.327600041934
3,UN_PX_0,1845.8491785411854
3,ND_NX_0,2147.7755972097416
3,NX_NX_0,998.4784069658317
3,DX_NX_0,19991.09580130024
4,ND_NX_1,65.92965865744134
4,NX_NX_0,877.7749716160044
4,PX_PX_0,23918.580208101113
4,ND_UN_0,714.5729324004419
4,PX_NX_0,9831.431063776196
4,UN_NX_0,6236.607251396056
4,ND_PX_1,64437.60809584461
4,ND_DX_0,275.8556296788335
4,NX_DX_0,5201.272145137729
4,ND_DX_1,520.1975268252431
4,UN_DX_0,8207.831320903077
4,ND_NX_0,4600.819259191272
4,DX_PX_0,5354.288779982532
4,PX_UN_0,61067.37739863363
4,DX_DX_0,310.77599932485754
4,DX_NX_0,77641.88157211342
4,DX_UN_0,2473.177873807068
4,NX_PX_0,3440.513995741375
4,UN_PX_0,31047.568626970646
4,PX_DX_0,84.42120629062678
4,NX_UN_0,151.45301945043457
4,ND_PX_0,267.41331981287817
4,UN_UN_0,11158.640290048648
5,ND_NX_1,70.20984331940912
5,NX_NX_0,933.7318955872724
5,PX_PX_0,23753.726005228047
5,ND_UN_0,734.2466669619117
5,PX_NX_0,9071.713279912681
5,UN_NX_0,6628.220838798015
5,ND_PX_1,57682.40479853388
5,ND_DX_0,266.64943590630764
5,NX_DX_0,5058.925521134277
5,ND_DX_1,508.0643762480669
5,UN_DX_0,8698.68613263317
5,ND_NX_0,4721.653134447943
5,DX_PX_0,5304.543172233958
5,PX_UN_0,65702.06025014083
5,DX_DX_0,305.4725427686301
5,DX_NX_0,73430.96121685096
