trial_num,map,num_agents,wrong_objective,unique_id,wrong_attempts
1,D1_1,0.94,0,dKAsihH,0
2,P2_2,0.36,0,dKAsihH,0
3,P2_1,0.36,0,dKAsihH,0
4,P1_1,0.87,0,dKAsihH,0
5,P1_0,0.86,0,dKAsihH,0
6,D1_0,0.41,0,dKAsihH,0
7,D2_0,0.62,0,dKAsihH,0
8,D2_2,0.84,0,dKAsihH,0
9,P1_2,0.93,0,dKAsihH,0
10,D2_1,0.96,0,dKAsihH,0
11,D1_2,0.27,0,dKAsihH,0
12,UN_0,0.21,0,dKAsihH,0
13,P2_0,0.34,0,dKAsihH,0
14,UN_2,0.73,0,dKAsihH,0
15,UN_1,0.14,0,dKAsihH,0
1,D2_2,1,0,HaUiiXx,1
2,P2_2,0,0,HaUiiXx,1
3,P1_2,0.51,0,HaUiiXx,1
4,D1_2,0.48,0,HaUiiXx,1
5,P1_1,0.5,0,HaUiiXx,1
6,UN_2,0.5,0,HaUiiXx,1
7,P2_1,0,0,HaUiiXx,1
8,UN_1,0.02,0,HaUiiXx,1
9,D2_1,1,0,HaUiiXx,1
10,P1_0,0.2,0,HaUiiXx,1
11,P2_0,0.18,0,HaUiiXx,1
12,UN_0,0.15,0,HaUiiXx,1
13,D1_0,0.11,0,HaUiiXx,1
14,D2_0,1,0,HaUiiXx,1
15,D1_1,0.16,0,HaUiiXx,1
1,P2_0,0.41,0,LhooE64,0
2,D1_1,0.61,0,LhooE64,0
3,P1_2,0.47,0,LhooE64,0
4,P2_1,0.4,0,LhooE64,0
5,UN_0,0.51,0,LhooE64,0
6,D2_1,1,0,LhooE64,0
7,D2_2,1,0,LhooE64,0
8,P2_2,0.42,0,LhooE64,0
9,P1_0,0.41,0,LhooE64,0
10,P1_1,0.71,0,LhooE64,0
11,D1_0,0.24,0,LhooE64,0
12,UN_1,0.47,0,LhooE64,0
13,D1_2,0.08,0,LhooE64,0
14,D2_0,1,0,LhooE64,0
15,UN_2,0.6,0,LhooE64,0
1,P2_2,1,0,j1NqOUD,0
2,UN_0,0,0,j1NqOUD,0
3,D2_1,1,0,j1NqOUD,0
4,D1_0,0,0,j1NqOUD,0
5,P1_1,0,0,j1NqOUD,0
6,P1_0,1,0,j1NqOUD,0
7,D1_2,1,0,j1NqOUD,0
8,D1_1,1,0,j1NqOUD,0
9,D2_2,1,0,j1NqOUD,0
10,UN_2,0.96,0,j1NqOUD,0
11,P1_2,1,0,j1NqOUD,0
12,D2_0,1,0,j1NqOUD,0
13,P2_1,1,0,j1NqOUD,0
14,P2_0,0,0,j1NqOUD,0
15,UN_1,0,0,j1NqOUD,0
1,UN_1,0.5,0,Lxp9Gn8,1
2,P1_1,0.49,0,Lxp9Gn8,1
3,P2_2,0.77,0,Lxp9Gn8,1
4,P1_2,0.15,0,Lxp9Gn8,1
5,D2_0,1,0,Lxp9Gn8,1
6,D1_1,0.11,0,Lxp9Gn8,1
7,UN_2,0.95,0,Lxp9Gn8,1
8,D2_2,0.97,0,Lxp9Gn8,1
