trial_num,map,num_agents,wrong_objective,unique_id,wrong_attempts
1,D2_2,1,0,ZUc2Cqe,0
2,P1_2,0.02,0,ZUc2Cqe,0
3,UN_2,0.6,0,ZUc2Cqe,0
4,P1_1,0.48,0,ZUc2Cqe,0
5,P1_0,0.51,0,ZUc2Cqe,0
6,D1_1,0.01,0,ZUc2Cqe,0
7,UN_1,0.5,0,ZUc2Cqe,0
8,P2_1,0.98,0,ZUc2Cqe,0
9,D2_0,0.97,0,ZUc2Cqe,0
10,P2_0,0.96,0,ZUc2Cqe,0
11,UN_0,0.5,0,ZUc2Cqe,0
12,D1_2,0.98,0,ZUc2Cqe,0
13,D1_0,0.52,0,ZUc2Cqe,0
14,P2_2,0.99,0,ZUc2Cqe,0
15,D2_1,0.99,0,ZUc2Cqe,0
1,D1_2,0.96,0,PVqU41I,1
2,P1_2,0.99,0,PVqU41I,1
3,D1_1,0.96,0,PVqU41I,1
4,D2_1,0.98,0,PVqU41I,1
5,UN_0,0.02,0,PVqU41I,1
6,P2_1,0.96,0,PVqU41I,1
7,D2_2,0.97,0,PVqU41I,1
8,D2_0,0.98,0,PVqU41I,1
9,P1_0,0.05,0,PVqU41I,1
10,P2_0,0.25,0,PVqU41I,1
11,P1_1,0.16,0,PVqU41I,1
12,UN_2,0.16,0,PVqU41I,1
13,D1_0,0.09,0,PVqU41I,1
14,P2_2,0.95,0,PVqU41I,1
15,UN_1,0.06,0,PVqU41I,1
1,P2_2,0.53,0,GCzzFTL,0
2,P1_2,0.24,0,GCzzFTL,0
3,D2_1,0.97,0,GCzzFTL,0
4,P2_1,0.47,0,GCzzFTL,0
5,D1_2,0.53,0,GCzzFTL,0
6,D2_2,0.94,0,GCzzFTL,0
7,UN_2,0.58,0,GCzzFTL,0
8,UN_0,0.22,0,GCzzFTL,0
9,P1_1,0.19,0,GCzzFTL,0
10,D2_0,0.96,0,GCzzFTL,0
11,UN_1,0.05,0,GCzzFTL,0
12,D1_1,0.77,0,GCzzFTL,0
13,D1_0,0.52,0,GCzzFTL,0
14,P2_0,0.77,0,GCzzFTL,0
15,P1_0,0.59,0,GCzzFTL,0
1,D1_0,0.03,0,Jfpddem,0
2,UN_2,0.88,0,Jfpddem,0
3,UN_0,0.16,0,Jfpddem,0
4,D1_2,0.79,0,Jfpddem,0
5,D1_1,0,0,Jfpddem,0
6,P2_1,0.93,5,Jfpddem,0
7,P2_0,0.09,0,Jfpddem,0
8,D2_2,0.88,0,Jfpddem,0
9,D2_0,0.9,0,Jfpddem,0
10,UN_1,0.12,0,Jfpddem,0
11,P1_2,0.89,0,Jfpddem,0
12,P1_0,0.91,0,Jfpddem,0
13,P1_1,0.57,0,Jfpddem,0
14,P2_2,0.14,0,Jfpddem,0
15,D2_1,0.88,0,Jfpddem,0
1,D2_1,0.97,0,rYCgnow,0
2,P1_1,0.94,0,rYCgnow,0
3,P1_2,0.07,0,rYCgnow,0
4,UN_2,0.96,0,rYCgnow,0
5,D2_2,0.97,0,rYCgnow,0
6,P2_0,0,0,rYCgnow,0
7,D1_0,0.92,0,rYCgnow,0
8,D2_0,0.93,0,rYCgnow,0
9,UN_0,0.06,0,rYCgnow,0
10,D1_1,0.94,0,rYCgnow,0
11,UN_1,0.95,0,rYCgnow,0
12,D1_2,0.99,0,rYCgnow,0
13,P1_0,0.46,0,rYCgnow,0
14,P2_1,0.03,0,rYCgnow,0
15,P2_2,1,0,rYCgnow,0
1,P2_2,0,0,SUkfTb1,1
2,D1_1,0,0,SUkfTb1,1
3,UN_0,0.1,0,SUkfTb1,1
4,P2_0,0.03,0,SUkfTb1,1
5,D2_2,1,0,SUkfTb1,1
6,P1_1,0.37,0,SUkfTb1,1
7,P1_0,0.02,0,SUkfTb1,1
8,D1_2,0,0,SUkfTb1,1
9,P1_2,0,0,SUkfTb1,1
10,P2_1,0.5,0,SUkfTb1,1
11,D2_1,1,0,SUkfTb1,1
12,UN_1,0.46,0,SUkfTb1,1
13,UN_2,0.49,0,SUkfTb1,1
14,D1_0,0,0,SUkfTb1,1
15,D2_0,1,0,SUkfTb1,1
1,UN_1,0.23,0,kgtjfDQ,1
2,UN_2,0.2,0,kgtjfDQ,1
3,P1_1,0.1,2,kgtjfDQ,1
4,D1_1,0.19,0,kgtjfDQ,1
5,D1_2,0,0,kgtjfDQ,1
6,D2_1,1,0,kgtjfDQ,1
7,UN_0,0.11,0,kgtjfDQ,1
8,P1_0,0.1,0,kgtjfDQ,1
9,D2_2,1,0,kgtjfDQ,1
10,P2_0,0.05,0,kgtjfDQ,1
11,P1_2,0,0,kgtjfDQ,1
12,P2_2,1,0,kgtjfDQ,1
13,P2_1,1,1,kgtjfDQ,1
14,D1_0,0.12,0,kgtjfDQ,1
15,D2_0,0.74,0,kgtjfDQ,1
1,UN_1,0.96,0,LS1Yrpj,1
2,P2_2,0.99,0,LS1Yrpj,1
3,P1_1,0.98,0,LS1Yrpj,1
4,P2_0,0.53,0,LS1Yrpj,1
5,D1_1,0.51,0,LS1Yrpj,1
6,UN_2,0.5,0,LS1Yrpj,1
7,D1_0,0.21,0,LS1Yrpj,1
8,D1_2,0.47,0,LS1Yrpj,1
9,D2_2,0.81,0,LS1Yrpj,1
10,P2_1,0.54,0,LS1Yrpj,1
11,D2_0,0.99,0,LS1Yrpj,1
12,P1_0,0.49,0,LS1Yrpj,1
13,UN_0,0,0,LS1Yrpj,1
14,P1_2,0.52,0,LS1Yrpj,1
15,D2_1,0.97,0,LS1Yrpj,1
1,D2_1,1,0,T9swVNU,0
2,UN_0,0.51,0,T9swVNU,0
3,D2_2,1,0,T9swVNU,0
4,D1_1,0,0,T9swVNU,0
5,P1_1,0.74,0,T9swVNU,0
6,UN_1,0.52,0,T9swVNU,0
7,D1_2,0,0,T9swVNU,0
8,P1_0,0.52,0,T9swVNU,0
9,D1_0,0,0,T9swVNU,0
10,P2_0,0.54,0,T9swVNU,0
11,P2_1,0.52,0,T9swVNU,0
12,D2_0,1,0,T9swVNU,0
13,P1_2,0.76,0,T9swVNU,0
14,P2_2,0.73,0,T9swVNU,0
15,UN_2,0.59,0,T9swVNU,0
1,D1_2,0.03,0,zKVhfG4,1
2,UN_2,0.48,0,zKVhfG4,1
3,UN_0,0.51,0,zKVhfG4,1
4,P1_0,0.48,0,zKVhfG4,1
5,D1_0,0.51,0,zKVhfG4,1
6,D2_0,0.93,0,zKVhfG4,1
7,P2_0,0.99,0,zKVhfG4,1
8,P2_1,0.49,0,zKVhfG4,1
9,P1_2,0.85,0,zKVhfG4,1
10,P2_2,0.76,0,zKVhfG4,1
11,D2_1,0.94,0,zKVhfG4,1
12,D1_1,0.83,0,zKVhfG4,1
13,UN_1,0.46,0,zKVhfG4,1
14,P1_1,0.47,0,zKVhfG4,1
15,D2_2,0.91,0,zKVhfG4,1
1,UN_2,0.25,0,IRudJe7,1
2,UN_1,0.08,0,IRudJe7,1
3,P2_2,0.84,1,IRudJe7,1
4,D1_2,0.17,0,IRudJe7,1
5,D1_1,0.1,0,IRudJe7,1
6,P1_0,0.29,0,IRudJe7,1
7,P1_1,0.37,0,IRudJe7,1
8,D2_2,0.94,0,IRudJe7,1
9,P2_0,0.36,0,IRudJe7,1
10,D1_0,0.1,0,IRudJe7,1
11,P2_1,0.64,0,IRudJe7,1
12,D2_0,0.86,0,IRudJe7,1
13,P1_2,0.16,0,IRudJe7,1
14,D2_1,0.97,0,IRudJe7,1
15,UN_0,0.37,0,IRudJe7,1
1,P2_1,0.28,0,HjMCXeO,0
2,P1_1,0.7,0,HjMCXeO,0
3,UN_1,0,0,HjMCXeO,0
4,D1_0,0.81,0,HjMCXeO,0
5,P2_2,1,0,HjMCXeO,0
6,D2_1,1,0,HjMCXeO,0
7,D2_0,1,0,HjMCXeO,0
8,D2_2,1,0,HjMCXeO,0
9,UN_0,0,0,HjMCXeO,0
10,P1_0,0.24,0,HjMCXeO,0
11,D1_1,0.71,0,HjMCXeO,0
12,UN_2,0.53,0,HjMCXeO,0
13,D1_2,0,0,HjMCXeO,0
14,P2_0,0.65,0,HjMCXeO,0
15,P1_2,0.16,0,HjMCXeO,0
1,D1_1,0.34,0,GUnZQEF,1
2,UN_1,0.22,0,GUnZQEF,1
3,D2_2,0.85,0,GUnZQEF,1
4,P2_1,0.5,0,GUnZQEF,1
5,UN_0,0.49,0,GUnZQEF,1
6,D2_0,1,0,GUnZQEF,1
7,UN_2,0.51,0,GUnZQEF,1
8,P1_2,0.31,0,GUnZQEF,1
9,D1_2,0.27,0,GUnZQEF,1
10,P1_1,0.23,0,GUnZQEF,1
11,P1_0,0.24,0,GUnZQEF,1
12,D2_1,1,0,GUnZQEF,1
13,P2_2,0.49,0,GUnZQEF,1
14,D1_0,0.29,0,GUnZQEF,1
15,P2_0,0.33,0,GUnZQEF,1
1,P1_2,0.78,0,Lq5CPn0,1
2,UN_0,0,0,Lq5CPn0,1
3,D1_2,0.28,0,Lq5CPn0,1
4,UN_2,0.79,0,Lq5CPn0,1
5,D1_0,0.3,0,Lq5CPn0,1
6,D2_1,1,0,Lq5CPn0,1
7,P2_2,0.65,0,Lq5CPn0,1
8,P2_1,0.16,0,Lq5CPn0,1
9,P2_0,0.1,0,Lq5CPn0,1
10,UN_1,0,0,Lq5CPn0,1
11,D2_2,0.76,0,Lq5CPn0,1
12,D1_1,0,0,Lq5CPn0,1
13,P1_1,0.67,1,Lq5CPn0,1
14,D2_0,1,0,Lq5CPn0,1
15,P1_0,0.23,0,Lq5CPn0,1
1,UN_2,0.83,0,mFZyJD3,0
2,D1_0,0.22,0,mFZyJD3,0
3,P2_1,0.07,0,mFZyJD3,0
4,P2_0,0.17,0,mFZyJD3,0
5,D2_2,0.91,0,mFZyJD3,0
6,UN_0,0.11,0,mFZyJD3,0
7,D2_1,0.84,0,mFZyJD3,0
8,P1_2,0.66,0,mFZyJD3,0
9,D1_1,0.12,0,mFZyJD3,0
10,P2_2,0.76,0,mFZyJD3,0
11,P1_1,0.22,0,mFZyJD3,0
12,P1_0,0.18,0,mFZyJD3,0
13,D1_2,0.28,0,mFZyJD3,0
14,UN_1,0.06,0,mFZyJD3,0
15,D2_0,0.82,0,mFZyJD3,0
