1,2,3,trial_num,map,prior,A,B,C,wrong_objective,unique_id,quiz_attempts
0.74,0.22,-1,1,DX_UN_0,goals-162,0.09,0.76,0.24,0,6021b17233ab1821e23deb29,1
0.37,0.37,0.08,2,NX_UN_0,goals-333,0.49,0.49,0.49,0,6021b17233ab1821e23deb29,1
0.15,0.84,-1,3,DX_PX_0,goals-621,0.81,0.31,0.12,0,6021b17233ab1821e23deb29,1
0.49,0.49,-1,4,UN_UN_0,goals-333,0.48,0.48,0.49,0,6021b17233ab1821e23deb29,1
0.72,0.37,0.09,5,PX_UN_0,goals-162,0.07,0.76,0.24,1,6021b17233ab1821e23deb29,1
0.47,0.46,0.1,6,NX_PX_0,goals-216,0.18,0.05,0.71,0,6021b17233ab1821e23deb29,1
0.12,0.54,0.09,7,PX_PX_0,goals-621,0.79,0.24,0.08,0,6021b17233ab1821e23deb29,1
0.56,0.35,-1,8,UN_PX_0,goals-216,0.28,0.09,0.71,0,6021b17233ab1821e23deb29,1
0.83,0.32,0.11,9,PX_DX_0,doors-621,0.26,0.24,0.63,0,6021b17233ab1821e23deb29,1
0.25,0.12,0.8,10,PX_PX_0,doors-216,0.25,0.54,0.28,0,6021b17233ab1821e23deb29,1
0.48,0.4,-1,11,UN_PX_0,doors-54,0.38,0.09,0.36,0,6021b17233ab1821e23deb29,1
0.75,0.23,-1,12,UN_DX_0,doors-72,0.2,0.21,0.75,0,6021b17233ab1821e23deb29,1
0.49,0.49,0.49,13,PX_UN_0,doors-333,0.45,0.46,0.46,0,6021b17233ab1821e23deb29,1
0.61,0.47,-1,14,UN_UN_0,doors-54,0.46,0.47,0.47,0,6021b17233ab1821e23deb29,1
0.19,0.85,-1,15,UN_NX_0,doors-27,0.42,0.72,0.42,0,6021b17233ab1821e23deb29,1
0.15,0.68,0.32,16,PX_NX_0,doors-162,0.48,0.49,0.19,0,6021b17233ab1821e23deb29,1
0.66,0.66,0.03,1,NX_UN_0,goals-621,0.7,0.25,0.17,0,5dd3f61e7cc9733d1f71bd48,1
0.1,0.78,0.1,2,PX_PX_0,goals-162,0.2,0.04,0.79,0,5dd3f61e7cc9733d1f71bd48,1
0.97,0.03,-1,3,DX_UN_0,goals-216,0.27,0.12,0.68,0,5dd3f61e7cc9733d1f71bd48,1
0.78,0.51,0,4,PX_UN_0,goals-216,0.41,0.34,0.71,0,5dd3f61e7cc9733d1f71bd48,1
0.51,0.52,0.01,5,NX_PX_0,goals-333,0.58,0.03,0.82,0,5dd3f61e7cc9733d1f71bd48,1
0.51,0.51,-1,6,UN_PX_0,goals-333,0.48,0.03,0.5,0,5dd3f61e7cc9733d1f71bd48,1
0.22,0.81,-1,7,DX_PX_0,goals-162,0.32,0.69,0.03,0,5dd3f61e7cc9733d1f71bd48,1
0.47,0.47,-1,8,UN_UN_0,goals-621,0.62,0.34,0.14,0,5dd3f61e7cc9733d1f71bd48,1
0.48,0.48,0.49,9,PX_PX_0,doors-333,0.24,0,0.65,0,5dd3f61e7cc9733d1f71bd48,1
0.34,0.64,-1,10,UN_NX_0,doors-54,0,0.49,0.5,0,5dd3f61e7cc9733d1f71bd48,1
0.2,0.79,-1,11,UN_DX_0,doors-27,0.03,0,0.99,0,5dd3f61e7cc9733d1f71bd48,1
0.65,0.33,-1,12,UN_UN_0,doors-72,0.48,0.47,0.49,0,5dd3f61e7cc9733d1f71bd48,1
0.47,0.46,-1,13,UN_PX_0,doors-54,0.45,0.01,0.46,0,5dd3f61e7cc9733d1f71bd48,1
0.41,0.01,0.58,14,PX_DX_0,doors-162,0.04,0,0.98,0,5dd3f61e7cc9733d1f71bd48,1
0.51,0.51,0,15,PX_UN_0,doors-621,0.46,0.46,0.04,0,5dd3f61e7cc9733d1f71bd48,1
0.47,0.47,0,16,PX_NX_0,doors-216,0.5,0.51,0,0,5dd3f61e7cc9733d1f71bd48,1
0,0.72,0.42,1,NX_UN_0,goals-621,0.06,0.42,0.93,2,614b9b48df4e2707c77cbfc6,1
0.76,0.35,-1,2,DX_PX_0,goals-162,0.74,0.23,0.54,1,614b9b48df4e2707c77cbfc6,1
0.25,0.8,0.22,3,NX_PX_0,goals-333,0.34,0.74,0.46,1,614b9b48df4e2707c77cbfc6,1
0.35,0.78,-1,4,DX_UN_0,goals-216,0.22,0.44,0.84,0,614b9b48df4e2707c77cbfc6,1
0.76,0.51,0.2,5,PX_UN_0,goals-216,0.27,0.94,0.38,1,614b9b48df4e2707c77cbfc6,1
0.24,0.88,0.5,6,PX_PX_0,goals-162,0.12,0.7,0.38,3,614b9b48df4e2707c77cbfc6,1
0.38,0.87,-1,7,UN_UN_0,goals-621,0.74,0.45,0.18,0,614b9b48df4e2707c77cbfc6,1
