1,2,3,trial_num,map,prior,A,B,C,wrong_objective,unique_id,quiz_attempts
0.45,0.46,-1,1,UN_UN_0,goals-216,0.54,0.52,0.5,0,5c881efa0ae44f001539a05b,1
0.26,0.52,0.25,2,NX_PX_0,goals-162,0.64,0,0.63,1,5c881efa0ae44f001539a05b,1
0.98,0.01,0.01,3,PX_UN_0,goals-621,0.51,0.49,0.51,0,5c881efa0ae44f001539a05b,1
0.96,0.02,-1,4,DX_UN_0,goals-621,0.46,0.5,0.53,0,5c881efa0ae44f001539a05b,1
0.03,0.96,0.01,5,PX_PX_0,goals-333,0.47,0,0.52,0,5c881efa0ae44f001539a05b,1
0.52,0.51,-1,6,UN_PX_0,goals-162,0.56,0.03,0.53,0,5c881efa0ae44f001539a05b,1
0.04,0.95,-1,7,DX_PX_0,goals-333,0.55,0.55,0.02,0,5c881efa0ae44f001539a05b,1
0.44,0.49,0.04,8,NX_UN_0,goals-216,0.48,0.47,0.5,0,5c881efa0ae44f001539a05b,1
0.49,0.49,0.02,9,PX_NX_0,doors-621,0.48,0.49,0.04,0,5c881efa0ae44f001539a05b,1
0.44,0.41,0.02,10,PX_UN_0,doors-216,0.47,0.49,0.51,0,5c881efa0ae44f001539a05b,1
0.45,0.03,0.53,11,PX_DX_0,doors-333,0.01,0.01,0.97,0,5c881efa0ae44f001539a05b,1
0.52,0.52,-1,12,UN_UN_0,doors-54,0.58,0.56,0.52,0,5c881efa0ae44f001539a05b,1
0.51,0.5,-1,13,UN_DX_0,doors-54,0.01,0.01,0.96,0,5c881efa0ae44f001539a05b,1
0.44,0.47,0.04,14,PX_PX_0,doors-162,0.5,0.03,0.51,0,5c881efa0ae44f001539a05b,1
0.48,0.46,-1,15,UN_NX_0,doors-72,0.02,0.47,0.53,0,5c881efa0ae44f001539a05b,1
0.46,0.48,-1,16,UN_PX_0,doors-27,0.49,0.02,0.55,0,5c881efa0ae44f001539a05b,1
0.9,0.12,-1,1,DX_PX_0,goals-621,0.97,0.59,0.04,0,613a3756d4013bf3ac10d3db,0
1,0.18,-1,2,UN_UN_0,goals-333,0.57,0.58,0.43,0,613a3756d4013bf3ac10d3db,0
