map,entrance,mean_human,mean_z_human,lower,upper,model,z_model
DX_DX_0,1,0.646297676596893,0.8836441097285908,0.5454398499386851,0.738105145882149,1,1.3664052623340008
DX_DX_0,2,0.353702323403107,-0.042598414114618656,0.2640577188964463,0.44920864301822727,0,-1.309471709736756
DX_NX_0,1,0.7835153369299919,1.4515110956208674,0.7014852002637523,0.8455437473122304,1,1.3664052623340008
DX_NX_0,2,0.21648466307000808,-0.6104654000068954,0.1540073861594579,0.2963208656506492,0,-1.309471709736756
DX_PX_0,1,0.27152344072350915,-0.33819491499678395,0.19099027278003178,0.36182219318867465,0,-1.309471709736756
DX_PX_0,2,0.7284765592764909,1.179240610610756,0.6385008623635828,0.8108146853037851,0.999999999999999,1.3664052623339984
DX_UN_0,1,0.9133988687737237,2.0150131863117733,0.86868364159957,0.9463275876799646,1,1.3664052623340008
DX_UN_0,2,0.08660113122627627,-1.173967490697801,0.05305560380856475,0.13076864792946324,0,-1.309471709736756
NX_DX_0,1,0.4788843713588369,0.25683685326241396,0.44980576778232934,0.5089925295400781,0.462770499559162,-0.07115478661271407
NX_DX_0,2,0.4078983450873603,-0.014684724779532811,0.36608682910974616,0.43860062433247193,0.537229500440838,0.1280883392099588
NX_DX_0,3,0.11321728355380281,-1.0831978240968536,0.07144170370108194,0.16425160424616875,0,-1.309471709736756
NX_NX_0,1,0.178838090111507,-0.8343062816173491,0.13051469843557223,0.2264279574978064,0,-1.309471709736756
NX_NX_0,2,0.4077518527179652,-0.020918119655538924,0.3665321832607824,0.4587387053353713,0.518540104326212,0.07807781452492256
NX_NX_0,3,0.41341005717052776,0.014178705658915615,0.3742560633140932,0.46709181761903357,0.481459895673795,-0.02114426192765896
NX_PX_0,1,0.4092255555899493,-0.03385065211726037,0.3615495010118948,0.44779079914307823,0.51174384161976,0.05989185165258451
NX_PX_0,2,0.40571718127090983,-0.041802362204172785,0.364866432528438,0.43746201556733183,0.488256158380239,-0.0029582990553421503
NX_PX_0,3,0.18505726313914092,-0.7653926812925392,0.12796046090662988,0.2534338178389361,0,-1.309471709736756
NX_UN_0,1,0.5009271160743087,0.4177754299215763,0.48093675852472506,0.5178910326961103,0.470326409495563,-0.05093610121085806
NX_UN_0,2,0.448331314198698,0.14699908682234125,0.41937994896102737,0.473597728318068,0.529673590504452,0.1078696538081429
NX_UN_0,3,0.050741569726993216,-1.40582021235789,0.03111617584566559,0.08321042607392859,0,-1.309471709736756
PX_DX_0,1,0.28508109371888507,-0.4922993195029477,0.22637995549792594,0.3382965076296423,0.210134790115695,-0.7471768638352462
PX_DX_0,2,0.08028923547158076,-1.267858656157743,0.05148003380019696,0.12008477717153405,0,-1.309471709736756
PX_DX_0,3,0.6346296708095341,0.9191122800467182,0.5789703249591972,0.701936694423137,0.789865209884305,0.8041104164324909
PX_NX_0,1,0.5198541057874096,0.46593725048881524,0.4926421826832677,0.5560430814984288,0.833282632676297,0.9202900982682424
PX_NX_0,2,0.43285145826031557,0.08651004396810345,0.39734751833876636,0.4613997365944434,0.166717367323703,-0.8633565456709976
PX_NX_0,3,0.047294435952274734,-1.393492990070891,0.02878161272548597,0.07792894422653215,0,-1.309471709736756
PX_PX_0,1,0.37629181149901114,-0.13884894077035945,0.32984082080012206,0.4122445779712432,0.288096875338615,-0.5385599152926166
PX_PX_0,2,0.4014909448851527,-0.0894836276470246,0.34799339019669506,0.46619600369380493,0.711903124661383,0.595493467889856
PX_PX_0,3,0.22221724361583614,-0.6127131271965883,0.16027415214476431,0.2930399620963195,0,-1.309471709736756
PX_UN_0,1,0.5938129804201404,0.7111024132506367,0.5439160976773665,0.659900891325339,0.805180178439408,0.845091388117079
PX_UN_0,2,0.34955403889020065,-0.20375144600078368,0.2910423059464347,0.39510893782884865,0.194819821560601,-0.7881578355198099
PX_UN_0,3,0.05663298068965891,-1.3483966628638255,0.032336133199854684,0.09618632369857745,0,-1.309471709736756
UN_DX_0,1,0.5182495331056038,0.47642565907013734,0.48846880301409173,0.5630301193803775,0.459839274511056,-0.07899838421889792
UN_DX_0,2,0.4817504668943961,0.36462003654383474,0.4365913029429199,0.5111720766327836,0.540160725488944,0.1359319368161428
UN_NX_0,1,0.5404617624715534,0.5901834479054059,0.49208458665830046,0.6054274956832427,0.470195469033922,-0.05128648177687545
UN_NX_0,2,0.45953823752844664,0.2508622477085663,0.397966037555359,0.507399407155159,0.529804530966079,0.10822003437412316
UN_PX_0,1,0.5020318281884687,0.43205159994156495,0.48780278091987445,0.5184507479833127,0.483715827162936,-0.015107666805297282
UN_PX_0,2,0.4979681718115313,0.4089940956724072,0.481406154081145,0.512888235240022,0.516284172837064,0.07204121940254202
UN_UN_0,1,0.507120814038452,0.4334123798729208,0.4935018885311061,0.5274094905702091,0.533999999999988,0.11944659334899618
UN_UN_0,2,0.492879185961548,0.4076333157410513,0.47394240546744476,0.5066462928681137,0.466000000000012,-0.06251304075175114
