trial,A_d,B_d,C_d,1_d,2_d,3_d,mean_A,mean_B,mean_C,mean_1,mean_2,mean_3
DX_DX_0,6,8,4,6,4,NA,0.0894,0.0718,0.839,0.646,0.354,NA
DX_NX_0,7,7,5,5,5,NA,0.434,0.0942,0.472,0.784,0.216,NA
DX_PX_0,6,4,8,5,6,NA,0.327,0.546,0.127,0.272,0.728,NA
DX_UN_0,6,6,6,4,6,NA,0.333,0.348,0.319,0.913,0.0866,NA
ND_DX_0,4,6,6,6,NA,NA,0.835,0.0821,0.0832,NA,NA,NA
ND_DX_1,4,2,10,4,NA,NA,0.722,0.228,0.0500,NA,NA,NA
ND_NX_0,5,7,5,5,NA,NA,0.474,0.0508,0.475,NA,NA,NA
ND_NX_1,6,2,10,2,NA,NA,0.484,0.245,0.271,NA,NA,NA
ND_PX_0,4,4,8,4,NA,NA,0.661,0.114,0.225,NA,NA,NA
ND_PX_1,2,4,8,7,NA,NA,0.402,0.559,0.0394,NA,NA,NA
ND_UN_0,9,9,5,3,NA,NA,0.306,0.296,0.398,NA,NA,NA
NX_DX_0,7,7,5,5,7,5,0.0897,0.102,0.808,0.479,0.408,0.113
NX_NX_0,6,6,6,6,5,5,0.387,0.201,0.412,0.179,0.408,0.413
NX_PX_0,4,8,4,7,7,4,0.418,0.0856,0.496,0.409,0.406,0.185
NX_UN_0,7,3,11,3,5,9,0.334,0.400,0.265,0.501,0.448,0.0507
PX_DX_0,4,10,2,8,10,3,0.0933,0.0600,0.847,0.285,0.0803,0.635
PX_NX_0,7,7,9,3,5,8,0.433,0.470,0.0965,0.520,0.433,0.0473
PX_PX_0,4,6,6,5,7,4,0.343,0.128,0.529,0.376,0.401,0.222
PX_UN_0,9,7,7,4,4,7,0.344,0.356,0.301,0.594,0.350,0.0566
UN_DX_0,7,7,5,5,5,NA,0.0787,0.0534,0.878,0.518,0.482,NA
UN_NX_0,10,6,6,6,6,NA,0.0527,0.435,0.511,0.540,0.460,NA
UN_PX_0,4,8,4,7,7,NA,0.515,0.0581,0.427,0.502,0.498,NA
UN_UN_0,6,6,6,4,4,NA,0.328,0.328,0.344,0.507,0.493,NA
